Date,UCLA,UTAH
1/23/2015,194.725,196.725
2/06/2016,197.100,197.075
2/18/2017,"	197.500",197.875
2/18/2018,"	197.425",197.550
2/23/2019,198.025,197.625
2/23/2020,198.025,198.075
2/19/2021,197.100,197.225
2/04/2022,197.650,197.750
2/03/2023,197.450,198.200
2/19/2024,196.975,197.300
