Date,UCLA,Cal
2/01/2015,196.800,195.425
2/01/2016,195.175,196.375
3/05/2017,197.525,196.800
2/10/2018,197.750,197.225
3/08/2020,197.900,196.725
3/06/2021,196.925,198.050
3/06/2022,198.050,197.200
2/18/2023,197.975,197.975
