Race, CA Regs: Violate Curfew, Driving Invalid License, Fail to Appear After Written Promise, False Identification to Specific Peace Officers, Obstruct/Resist, Outside Agency Infraction Warrant, Threat, Trespass, UCPD Misdemeanor Bench Warrant, Vandalism
White, 25, 8, 24,36,70,84,30,71,77,21
Black, 43, 36, 25, 34, 56,69,25,115,83,21
Hispanic, 10, 39,3,15,22,20,10,23,29,14
Asian, 1, 6,6,5,3,0,2,5,2,2
American Indian, 0,0,0,0,0,0,0,0,0,0
Other,10,1,4,4,4,6,5,7,4
