Campus,FY 18-19,FY 19-20,FY 20-21 (projected)
UC Berkeley,13872000,15741000,15793000
UC Davis,11979000,13393000,15121000
UC Irvine,15200825,17640793,In progress
UC Los Angeles,21094516,21663372,22182739
UC Merced,4353804,4638542,4852023
UC Riverside,7971153,8325720,8690839
UC Santa Barbara,9241303,9641701,In progress
UC Santa Cruz,6171219,6965349,6965349
UC San Diego,14875000,14044000,13921000
UC San Francisco,22100000,24100000,25100000
