TOTALS (shots),leftThree,rightThree,leftFG,rightFG,Key,Layup
Japreece Dean,41.20,11.40,18.80,29.70,33.30,35.70
Michaela Onyenwere,26.30,26.70,18.80,30.40,37.30,62.90
Charisma Osborne,35.10,33.30,33.30,53.30,30.00,58.50
Lauryn Miller,N/A,N/A,50,20.00,28.60,54.40
Natalie Chou,35.30,17.20,25.00,54.50,33.30,52.60
