movies and shows filmed @ ucla,,,,,,,,,
Movies_name,Movies_url,Movies_releaseDate,Movies_genre,Movies_runTime,Movies_movieRating,Movies_movieStars,Movies_votes,Movies_rating,
Back to School,https://www.imdb.com/title/tt0090685/?ref_=adv_li_tt,1986,"Comedy, Romance, Sport",96 min,PG-13,"Stars: Rodney Dangerfield, Sally Kellerman, Burt Young, Keith Gordon","28,337",6.7,-1986
A Nightmare on Elm Street 3: Dream Warriors,https://www.imdb.com/title/tt0093629/?ref_=adv_li_tt,1987,"Fantasy, Horror",96 min,R,"Stars: Heather Langenkamp, Robert Englund, Craig Wasson, Patricia Arquette","71,342",6.6,-1987
American Gigolo,https://www.imdb.com/title/tt0080365/?ref_=adv_li_tt,1980,"Crime, Drama, Mystery",117 min,R,"Stars: Richard Gere, Lauren Hutton, Hector Elizondo, Nina van Pallandt","21,831",6.3,-1980
Scream 3,https://www.imdb.com/title/tt0134084/?ref_=adv_li_tt,2000,"Horror, Mystery",116 min,R,"Stars: David Arquette, Neve Campbell, Courteney Cox, Liev Schreiber","124,432",5.6,-2000
Jobs,https://www.imdb.com/title/tt2357129/?ref_=adv_li_tt,2013,"Biography, Drama",128 min,PG-13,"Stars: Ashton Kutcher, Dermot Mulroney, Josh Gad, Lukas Haas","93,963",5.9,-2013
How High,https://www.imdb.com/title/tt0278488/?ref_=adv_li_tt,2001,"Comedy, Fantasy",93 min,R,"Stars: Method Man, Redman, Obba Babatundé, Mike Epps","53,824",6.3,-2001
Undeclared,https://www.imdb.com/title/tt0273028/?ref_=adv_li_tt,2001,Comedy,22 min,TV-14,"Stars: Jay Baruchel, Carla Gallo, Charlie Hunnam, Monica Keena","16,297",7.9,-2001
Higher Learning,https://www.imdb.com/title/tt0113305/?ref_=adv_li_tt,1995,"Crime, Drama, Thriller",127 min,R,"Stars: Omar Epps, Kristy Swanson, Michael Rapaport, Jennifer Connelly","18,210",6.5,-1995
The Sure Thing,https://www.imdb.com/title/tt0090103/?ref_=adv_li_tt,1985,"Comedy, Drama, Romance",95 min,PG-13,"Stars: John Cusack, Daphne Zuniga, Anthony Edwards, Boyd Gaines","19,345",7,-1985
Herbie Fully Loaded,https://www.imdb.com/title/tt0400497/?ref_=adv_li_tt,2005,"Adventure, Comedy, Family",101 min,G,"Stars: Lindsay Lohan, Michael Keaton, Cheryl Hines, Breckin Meyer","45,293",4.8,-2005
The Players Club,https://www.imdb.com/title/tt0119905/?ref_=adv_li_tt,1998,"Comedy, Drama",104 min,R,"Stars: LisaRaye McCoy, Dick Anthony Williams, Judyann Elder, Chrystale Wilson","6,346",5.9,-1998
Nutty Professor II: The Klumps,https://www.imdb.com/title/tt0144528/?ref_=adv_li_tt,2000,"Comedy, Romance, Sci-Fi",106 min,PG-13,"Stars: Eddie Murphy, Janet Jackson, Larry Miller, John Ales","48,476",4.4,-2000
Mafia!,https://www.imdb.com/title/tt0120741/?ref_=adv_li_tt,1998,"Comedy, Crime",87 min,PG-13,"Stars: Jay Mohr, Christina Applegate, Lloyd Bridges, Billy Burke","14,566",5.7,-1998
Legally Blonde 2,https://www.imdb.com/title/tt0333780/?ref_=adv_li_tt,2003,Comedy,95 min,PG-13,"Stars: Reese Witherspoon, Sally Field, Bob Newhart, Regina King","61,748",4.8,-2003
Night of the Creeps,https://www.imdb.com/title/tt0091630/?ref_=adv_li_tt,1986,"Comedy, Horror, Sci-Fi",88 min,R,"Stars: Jason Lively, Tom Atkins, Steve Marshall, Jill Whitlow","21,048",6.8,-1986
The Eye,https://www.imdb.com/title/tt0406759/?ref_=adv_li_tt,2008,"Drama, Horror, Mystery",98 min,PG-13,"Stars: Jessica Alba, Alessandro Nivola, Parker Posey, Rade Serbedzija","51,695",5.4,-2008
Mighty Joe Young,https://www.imdb.com/title/tt0120751/?ref_=adv_li_tt,1998,"Action, Adventure, Family",114 min,PG,"Stars: Bill Paxton, Charlize Theron, Rade Serbedzija, Peter Firth","27,753",5.6,-1998
Breathless,https://www.imdb.com/title/tt0085276/?ref_=adv_li_tt,1983,"Action, Drama, Romance",100 min,R,"Stars: Richard Gere, Valérie Kaprisky, Art Metrano, John P. Ryan","8,524",5.9,-1983
Peaceful Warrior,https://www.imdb.com/title/tt0438315/?ref_=adv_li_tt,2006,"Drama, Romance, Sport",120 min,PG-13,"Stars: Scott Mechlowicz, Nick Nolte, Amy Smart, Tim DeKay","26,766",7.3,-2006
The Born Losers,https://www.imdb.com/title/tt0061420/?ref_=adv_li_tt,1967,"Action, Drama, Thriller",113 min,PG,"Stars: Tom Laughlin, Elizabeth James, Jeremy Slate, William Wellman Jr.","2,176",6,-1967
Fright Night Part 2,https://www.imdb.com/title/tt0097390/?ref_=adv_li_tt,1988,"Comedy, Horror, Thriller",104 min,R,"Stars: William Ragsdale, Roddy McDowall, Traci Lind, Julie Carmen","11,572",5.9,-1988
First Daughter,https://www.imdb.com/title/tt0361620/?ref_=adv_li_tt,2004,"Comedy, Drama, Romance",106 min,PG,"Stars: Katie Holmes, Marc Blucas, Michael Keaton, Amerie","21,145",5.1,-2004
Twice Dead,https://www.imdb.com/title/tt0096319/?ref_=adv_li_tt,1988,"Thriller, Horror",87 min,R,"Stars: Tom Bresnahan, Jill Whitlow, Jonathan Chapin, Christopher Burgard",624,5.3,-1988
Threesome,https://www.imdb.com/title/tt0111418/?ref_=adv_li_tt,1994,"Comedy, Drama, Romance",93 min,R,"Stars: Lara Flynn Boyle, Josh Charles, Stephen Baldwin, Alexis Arquette","12,587",6.3,-1994
Final Analysis,https://www.imdb.com/title/tt0104265/?ref_=adv_li_tt,1992,"Drama, Thriller",124 min,R,"Stars: Richard Gere, Kim Basinger, Uma Thurman, Eric Roberts","13,282",5.9,-1992
The Caine Mutiny,https://www.imdb.com/title/tt0046816/?ref_=adv_li_tt,1954,"Drama, War",124 min,Not Rated,"Stars: Humphrey Bogart, José Ferrer, Van Johnson, Fred MacMurray","24,430",7.7,-1954
Sorority Boys,https://www.imdb.com/title/tt0279781/?ref_=adv_li_tt,2002,Comedy,93 min,R,"Stars: Barry Watson, Harland Williams, Michael Rosenbaum, Melissa Sagemiller","13,806",5.5,-2002
Gotcha!,https://www.imdb.com/title/tt0089222/?ref_=adv_li_tt,1985,"Action, Comedy, Mystery",101 min,PG-13,"Stars: Anthony Edwards, Linda Fiorentino, Jsu Garcia, Alex Rocco","6,868",6.2,-1985
Pirates of Silicon Valley,https://www.imdb.com/title/tt0168122/?ref_=adv_li_tt,1999,"Biography, Drama, History",95 min,Not Rated,"Stars: Anthony Michael Hall, Noah Wyle, Joey Slotnick, J.G. Hertzler","23,604",7.3,-1999
Personal Best,https://www.imdb.com/title/tt0084489/?ref_=adv_li_tt,1982,"Drama, Sport",124 min,R,"Stars: Mariel Hemingway, Scott Glenn, Patrice Donnelly, Kenny Moore","2,501",6.3,-1982
Better Luck Tomorrow,https://www.imdb.com/title/tt0280477/?ref_=adv_li_tt,2002,"Crime, Drama, Romance",101 min,R,"Stars: Parry Shen, Jason Tobin, Sung Kang, Shirley Anderson","9,121",7,-2002
Nightwatch,https://www.imdb.com/title/tt0119791/?ref_=adv_li_tt,1997,"Drama, Horror, Thriller",101 min,R,"Stars: Ewan McGregor, Nick Nolte, Anais Evans, Erich Anderson","18,857",6.2,-1997
The Unnamable,https://www.imdb.com/title/tt0096344/?ref_=adv_li_tt,1988,Horror,87 min,R,"Stars: Charles Klausmeyer, Mark Kinsey Stephenson, Alexandra Durrell, Laura Albert","2,348",4.9,-1988
North Dallas Forty,https://www.imdb.com/title/tt0079640/?ref_=adv_li_tt,1979,"Comedy, Drama, Sport",119 min,R,"Stars: Nick Nolte, Charles Durning, Mac Davis, Dayle Haddon","4,755",7,-1979
Jocks,https://www.imdb.com/title/tt0093315/?ref_=adv_li_tt,1986,"Comedy, Sport",91 min,R,"Stars: Scott Strader, Perry Lang, Mariska Hargitay, Richard Roundtree",655,3.8,-1986
Penitentiary,https://www.imdb.com/title/tt0079709/?ref_=adv_li_tt,1979,"Crime, Drama, Sport",99 min,R,"Stars: Leon Isaac Kennedy, Wilbur 'Hi-Fi' White, Thomas M. Pollard, Hazel Spears",896,5.7,-1979
Art School Confidential,https://www.imdb.com/title/tt0364955/?ref_=adv_li_tt,2006,"Comedy, Drama, Romance",102 min,R,"Stars: Max Minghella, Sophia Myles, John Malkovich, Jim Broadbent","16,672",6.3,-2006
Senseless,https://www.imdb.com/title/tt0120820/?ref_=adv_li_tt,1998,"Comedy, Romance",93 min,R,"Stars: Marlon Wayans, David Spade, Brad Dourif, Esther Scott","14,099",6.1,-1998
The Prize,https://www.imdb.com/title/tt0057426/?ref_=adv_li_tt,1963,"Crime, Drama, Mystery",134 min,Approved,"Stars: Paul Newman, Edward G. Robinson, Elke Sommer, Diane Baker","4,298",6.9,-1963
