movies and shows filmed @ ucla,,,,,,,,,
Movies_name,Movies_url,Movies_releaseDate,Movies_genre,Movies_runTime,Movies_movieRating,Movies_movieStars,Movies_votes,Movies_rating,
Nickelodeon Kids' Choice Awards '07,https://www.imdb.com/title/tt1002691/?ref_=adv_li_tt,2007,Reality-TV,,,"Stars: Justin Timberlake, Paula Abdul, Americus Abesamis, Akon",121,5.7,-2007
Different,https://www.imdb.com/title/tt10314408/?ref_=adv_li_tt,2018,"Short, Comedy, Drama",10 min,,"Stars: Kyle Fitz, Abigail Spear, Jake Rotger, Shayda Dehnow",0,0,-2018
Thicker Than Water,https://www.imdb.com/title/tt6046606/?ref_=adv_li_tt,2016,"Short, Drama",,,"Stars: Tyler Richmeier, Erika Macke, Brandon Rowe, Sydney Samery",0,0,-2016
John & Johanna,https://www.imdb.com/title/tt4273390/?ref_=adv_li_tt,2014,"Short, Drama",7 min,,"Stars: Joe Karam, Julie Simone",0,0,-2014
Roman and Julie,https://www.imdb.com/title/tt11311120/?ref_=adv_li_tt,2019,"Short, Romance",3 min,,"Stars: Richard Zaehringer, Alex Elfner",0,0,-2019
Frat Ratz,https://www.imdb.com/title/tt0398469/?ref_=adv_li_tt,1999,Comedy,,,"Stars: Alice Amter, Hailey Caldwell, Gina Hiraizumi, Danilo Mancinelli",0,0,-1999
7th Annual Stellar Gospel Music Awards,https://www.imdb.com/title/tt8882968/?ref_=adv_li_tt,1992,Music,120 min,TV-G,"Stars: Clifton Davis, Marilyn McCoo, Yolanda Adams, Margaret Bell",0,0,-1992
My Story Sucks,https://www.imdb.com/title/tt8624272/?ref_=adv_li_tt,2018,"Short, Comedy",19 min,,"Stars: Christopher Blevins, Tracy Ann Chapel, Sonja Devi, Abby Gardner",7,7.4,-2018
Naked Innocence,https://www.imdb.com/title/tt1828253/?ref_=adv_li_tt,2010,"Short, Drama",5 min,,"Stars: Vivica Mitra, Maxim Zinger, Rakshak Sahni, Matthew Lee Lockerby",12,4.1,-2010
Rock n' Roll Cops,https://www.imdb.com/title/tt0281321/?ref_=adv_li_tt,2002,"Crime, Thriller",59 min,Not Rated,"Stars: Scott Shaw, Richard Magram, Kenneth H. Kim, Danielle James",38,7.9,-2002
Prickly Business,https://www.imdb.com/title/tt5649812/?ref_=adv_li_tt,2016,"Short, Comedy",12 min,,"Stars: Johnathan Lovett, Nerris Nassiri, Brendan Takash, Kendall Morris",0,0,-2016
CEO Exchange,https://www.imdb.com/title/tt1371767/?ref_=adv_li_tt,2000,Talk-Show,60 min,,"Stars: Jim Clark, Thomas Jermoluk",0,0,-2000
Nickelodeon Kids' Choice Sports 2017,https://www.imdb.com/title/tt7168486/?ref_=adv_li_tt,2017,Sport,,,"Stars: Russell Wilson, Michael Strahan, Nick Cannon, Augie Altes",5,4.8,-2017
The Bolero,https://www.imdb.com/title/tt0069812/?ref_=adv_li_tt,1973,"Short, Music, Documentary",26 min,Not Rated,Star: Zubin Mehta,72,7.7,-1973
Hoop and Jackie,https://www.imdb.com/title/tt7770030/?ref_=adv_li_tt,2010,"Short, Drama",,,"Stars: Sean Martin, Ken Wright, Elvis Parker-Jones, Jack Link",0,0,-2010
Snatch Adams,https://www.imdb.com/title/tt2318364/?ref_=adv_li_tt,2011,"Short, Comedy",,,"Stars: Chris Gehrt, Alice Cutler, Gary Dubin, Jennifer Durst",0,0,-2011
VH1 Rock Honors: The Who,https://www.imdb.com/title/tt1264982/?ref_=adv_li_tt,2008,Music,120 min,,"Stars: Jack Black, Roger Daltrey, David Duchovny, The Flaming Lips",38,8.2,-2008
The 1998 Annual Kid's Choice Awards,https://www.imdb.com/title/tt2113061/?ref_=adv_li_tt,1998,Reality-TV,,,"Stars: Tom Arnold, Drew Barrymore, Amanda Bynes, Lacey Chabert",6,8,-1998
Got It Maid,https://www.imdb.com/title/tt5993130/?ref_=adv_li_tt,2016,Short,,,"Stars: Angela De Marie, Mitchell Gregorio, Katherine Olmedo, Lee Faelner Te",0,0,-2016
Nickelodeon Kids' Choice Sports 2016,https://www.imdb.com/title/tt5897496/?ref_=adv_li_tt,2016,Sport,,,"Stars: Russell Wilson, Tate Berney, John-Paul Boatman-Vazquez, Cree Cicchino",6,8.3,-2016
Blacked Out,https://www.imdb.com/title/tt4680590/?ref_=adv_li_tt,2015,"Short, Drama",8 min,,"Stars: Johnathan Lovett, Zach Johnson, Joel Flynn, Carrie Gibson",0,0,-2015
A Little Off Mark,https://www.imdb.com/title/tt0183407/?ref_=adv_li_tt,1986,"Short, Romance, Comedy",9 min,,"Stars: Peter Parros, Lee Daniels, Carol Porter, Robin R. Robinson",12,5.9,-1986
The Evans Girl,https://www.imdb.com/title/tt6095958/?ref_=adv_li_tt,2016,"Short, Drama",14 min,,"Stars: Amanda Pearl Bell, Oleg Eyben, Alison Lees-Taylor, Rey Marz",0,0,-2016
The Words and Music of 'Cold Mountain',https://www.imdb.com/title/tt0423547/?ref_=adv_li_tt,2003,Musical,93 min,,"Stars: Kathy Baker, Riley Baugus, T Bone Burnett, Stuart Duncan",35,6.3,-2003
46th Annual Annie Awards,https://www.imdb.com/title/tt9712340/?ref_=adv_li_tt,2019,Animation,182 min,,"Stars: James Baxter, Kathryn Beaumont, Sandro Cleuzo, Ian J. Coony",0,0,-2019
2009 Alma Awards,https://www.imdb.com/title/tt1512690/?ref_=adv_li_tt,2009,Reality-TV,120 min,,"Stars: Eva Longoria, George Lopez, Jose David Acevedo, David Archuleta",0,0,-2009
De-feet,https://www.imdb.com/title/tt6154634/?ref_=adv_li_tt,2017,Short,6 min,,"Stars: John Dellaporta, Cesar Di Bello, Marguerite French, Helena Mulholland",0,0,-2017
How Do Birds Fly From Right To Left,https://www.imdb.com/title/tt10283800/?ref_=adv_li_tt,2019,"Short, Drama",4 min,,"Stars: Gustav Fiere, Amaya Lehingue",0,0,-2019
The Teacher,https://www.imdb.com/title/tt4268302/?ref_=adv_li_tt,2007,"Short, Comedy",5 min,,"Stars: Robert Firth, Brian Guy",0,0,-2007
Born to Dance this Way,https://www.imdb.com/title/tt2401601/?ref_=adv_li_tt,2012,"Short, Comedy, Music",12 min,,"Stars: Russell Argenal, Carlen Jewelle, Charlie Rano, Elle Jaxon",14,7.2,-2012
Popular Science,https://www.imdb.com/title/tt0040699/?ref_=adv_li_tt,1948,"Documentary, Short",,Approved,"Stars: Gayne Whitman, Russell E. Oakes",11,7.8,-1948
Imagine,https://www.imdb.com/title/tt4949294/?ref_=adv_li_tt,2015,Short,6 min,Not Rated,"Stars: Cecile Cubilo, Fay Moncur, Sherry Sun, Harry Tam",0,0,-2015
Americano,https://www.imdb.com/title/tt8585298/?ref_=adv_li_tt,2019,"Short, Drama",,,"Stars: Oscar Emmanuel Fabela, Autumn Hanna, David Hill, Michael Mulkey",0,0,-2019
All You Can Dream,https://www.imdb.com/title/tt0090609/?ref_=adv_li_tt,1986,Short,,,"Stars: Antonio De Jesus, Nia Peeples",0,0,-1986
A Patriot Act,https://www.imdb.com/title/tt8660592/?ref_=adv_li_tt,2018,"Short, Drama, Thriller",15 min,,"Stars: Waseem Abbas, Ali Aldhalimi, Don DiPaolo, Tamir Elbassir",0,0,-2018
Level 7,https://www.imdb.com/title/tt3038838/?ref_=adv_li_tt,2009,"Short, Comedy",,,"Stars: Trisha Beharie, Christan Copeland, Joshua Green, Joshua L. Green",0,0,-2009
Marvel Then and Now: An Evening with Stan Lee and Joe Quesada,https://www.imdb.com/title/tt0948747/?ref_=adv_li_tt,2007,Documentary,200 min,,"Stars: Kevin Smith, Stan Lee, Joe Quesada",24,6.9,-2007
Blue and Gold,https://www.imdb.com/title/tt5705716/?ref_=adv_li_tt,2015,Short,,,Director: Benjamin J. Walter,7,9.6,-2015
Memento Mori,https://www.imdb.com/title/tt9093286/?ref_=adv_li_tt,2019,"Short, Drama",,,"Stars: Peter Douglas, Ksenia Ishoot, David Janakiev, Savanna Mejia",0,0,-2019
Brewing: A Bruin's View of Campus Acceptance & Diversity,https://www.imdb.com/title/tt10423608/?ref_=adv_li_tt,2015,"Documentary, Short",6 min,,Star: Denise Marshall,0,0,-2015
Permutations,https://www.imdb.com/title/tt1653691/?ref_=adv_li_tt,1968,"Animation, Short",8 min,,Director: John Whitney Sr.,161,6.4,-1968
Where the Mountains Meet the Sea,https://www.imdb.com/title/tt12263542/?ref_=adv_li_tt,1959,"Short, Documentary",28 min,,"Stars: Ricky Bryce, Raymond Burr, Leo Carrillo, Emmett Kelly",0,0,-1959
45th Annual Annie Awards,https://www.imdb.com/title/tt11702244/?ref_=adv_li_tt,2018,Animation,142 min,,"Stars: James Baxter, Rodrigo Blaas, Jamie Kezlarian Bolio, Saara Chaudry",0,0,-2018
Frozen Smile,https://www.imdb.com/title/tt0829174/?ref_=adv_li_tt,2005,"Short, Comedy, Drama",7 min,Not Rated,"Stars: Michele Tannen, Leigh Rose, Deak Evgenikos, Tobby Huss",33,6.4,-2005
World Record,https://www.imdb.com/title/tt2095830/?ref_=adv_li_tt,2011,"Short, Drama",3 min,,Star: Eyob Tadese,0,0,-2011
The 47th Annie Awards,https://www.imdb.com/title/tt11677956/?ref_=adv_li_tt,2020,Animation,191 min,,"Stars: Edward Asner, Diedrich Bader, Jerry Beck, Jodi Benson",0,0,-2020
Week End in Hollywood,https://www.imdb.com/title/tt0191646/?ref_=adv_li_tt,1947,"Documentary, Short",11 min,,"Stars: Walter Lantz, Sid Grauman, Freddie Fisher, Bob Hope",39,5.8,-1947
Making OFFON,https://www.imdb.com/title/tt3842230/?ref_=adv_li_tt,1987,"Documentary, Short",10 min,,Star: Scott Bartlett,0,0,-1987
Another Life,https://www.imdb.com/title/tt1337092/?ref_=adv_li_tt,2008,"Short, Drama",28 min,,"Stars: Victoria Bonaventure, Dave Huber, Mara Marini, Enrico Natale",0,0,-2008
The Art of Waiting,https://www.imdb.com/title/tt7471372/?ref_=adv_li_tt,2014,"Short, Comedy",2 min,,Director: Aziz Twaijri,0,0,-2014
The Ledge,https://www.imdb.com/title/tt8085248/?ref_=adv_li_tt,2017,"Short, Mystery",6 min,,"Stars: Hannah Khorrami, Leila Khorrami, Grant Pietro, Nick Saba",0,0,-2017
The Moment,https://www.imdb.com/title/tt1263796/?ref_=adv_li_tt,2008,"Short, Drama",5 min,Not Rated,"Stars: Maureen Flannigan, Rick Gifford",0,0,-2008
SAMHSA 2016 Voice Awards,https://www.imdb.com/title/tt11702290/?ref_=adv_li_tt,2016,Reality-TV,131 min,,"Stars: Kristen Bell, Nick Reiner, Dax Shepard",0,0,-2016
Bob Hope on Campus,https://www.imdb.com/title/tt0210577/?ref_=adv_li_tt,1975,Comedy,60 min,,"Stars: America, Aretha Franklin, Bob Hope, John Wayne",0,0,-1975
Lines,https://www.imdb.com/title/tt1016002/?ref_=adv_li_tt,2007,"Short, Comedy",9 min,,"Stars: Monica May, Tracy Thorpe",31,7.1,-2007
Race to Oblivion,https://www.imdb.com/title/tt3222234/?ref_=adv_li_tt,1982,"Documentary, Short",27 min,,"Stars: Burt Lancaster, Shigeko Sasamori, Gene R. LaRocque, Kosta Tsipis",9,7.2,-1982
Third Story Man,https://www.imdb.com/title/tt4887350/?ref_=adv_li_tt,2015,"Short, Romance",,,"Stars: Mack Kary, John Patrick Lordan, Danielle Kay, Tristan Joseph",0,0,-2015
New Body,https://www.imdb.com/title/tt7275472/?ref_=adv_li_tt,2016,"Short, Mystery",3 min,,"Stars: Hunter Lowden, Chantalle Williams",0,0,-2016
Giving Weird Compliments to Strangers,https://www.imdb.com/title/tt8482758/?ref_=adv_li_tt,2017,"Short, Comedy",,,"Stars: Stuart Edge, Allie Jennings, Maclain Nelson",0,0,-2017
Redemption: The No Kill Revolution in America,https://www.imdb.com/title/tt3762926/?ref_=adv_li_tt,2014,"Documentary, History",56 min,,"Stars: Dorothy McKeon, Don Morrow, Michael G. Sayers",0,0,-2014
Black Bruin Extravaganza,https://www.imdb.com/title/tt10423628/?ref_=adv_li_tt,2015,"Documentary, Short",7 min,,Director: Anthony Elder,0,0,-2015
Don't Worry About It,https://www.imdb.com/title/tt4674890/?ref_=adv_li_tt,2015,"Short, Drama",10 min,,"Stars: James Hansen, Chad Comey, Joe Karam, Samantha McCarthy",0,0,-2015
The Jeremy Lin Effect 2: Linsanity,https://www.imdb.com/title/tt2258657/?ref_=adv_li_tt,2012,"Short, Comedy",4 min,,"Stars: Johnson Diep, Andrew Fung, David Fung, Scott Lilly",0,0,-2012
Straight Roommate,https://www.imdb.com/title/tt4308400/?ref_=adv_li_tt,2014,"Short, Comedy",3 min,,"Stars: Sam Mandel, Dennis Renard",0,0,-2014
Sole Mates,https://www.imdb.com/title/tt1366952/?ref_=adv_li_tt,2008,"Short, Comedy",5 min,,"Stars: Kelley Lonergan, Kia Makarechi",0,0,-2008
Liefs,https://www.imdb.com/title/tt1512313/?ref_=adv_li_tt,2009,"Short, Drama",4 min,,"Stars: Sanne Vogel, Nick Youssef",7,6.9,-2009
35th Annie Awards,https://www.imdb.com/title/tt3294834/?ref_=adv_li_tt,2008,Reality-TV,,,Star: Tom Kenny,0,0,-2008
Not Too Sweet,https://www.imdb.com/title/tt11146226/?ref_=adv_li_tt,2019,"Short, Drama",5 min,,"Stars: Georgia Branger-Klein, Sarah Newfield-Groover",0,0,-2019
Rominus (Teaser),https://www.imdb.com/title/tt4063536/?ref_=adv_li_tt,2006,"Short, Fantasy",,,Star: Jonathan Amaret,0,0,-2006
4th Annual Stellar Gospel Music Awards,https://www.imdb.com/title/tt9758694/?ref_=adv_li_tt,1988,Music,120 min,TV-G,"Stars: Wintley Phipps, Tramaine Hawkins, Marvin Winans, Yolanda Adams",0,0,-1988
Pet Sounds Live at Royce Hall,https://www.imdb.com/title/tt12915114/?ref_=adv_li_tt,2006,Music,,,"Stars: Al Jardine, The Brian Wilson Band, Brian Wilson",0,0,-2006
Kiss,https://www.imdb.com/title/tt7256050/?ref_=adv_li_tt,2017,"Short, Comedy",,,"Stars: Wilfred Gelin, Deven Panchal, Bianca Roth, Kristen Rozanski",0,0,-2017
Side Effects (Kevin Colligan),https://www.imdb.com/title/tt1359027/?ref_=adv_li_tt,2008,"Short, Horror",10 min,,"Stars: Christina Colligan, Rachael Drummond, Keeffe Griffith, Andy Hoff",0,0,-2008
Attention,https://www.imdb.com/title/tt4929076/?ref_=adv_li_tt,2015,"Short, Drama",9 min,,"Stars: Lindsey McCumber, Alyssa Piperis, Kerry Merkins, Jonathan Waserman",0,0,-2015
UCLA Baseball Intro,https://www.imdb.com/title/tt7305652/?ref_=adv_li_tt,2017,"Short, Sport",1 min,,Director: Benjamin J. Walter,7,9.6,-2017
Facade,https://www.imdb.com/title/tt3257134/?ref_=adv_li_tt,2013,"Short, Thriller",7 min,,"Stars: Vaneh Assadourian, Marcus Chan, Chance Molenda, Tosin Olomowewe",0,0,-2013
Isolation,https://www.imdb.com/title/tt0387309/?ref_=adv_li_tt,2003,"Drama, Short",7 min,Not Rated,"Stars: Patrick Ortman, Bob Bielecki, Wynn Rowell, Tony Cicchetti",9,6.2,-2003
Toast to Our Brother,https://www.imdb.com/title/tt1034078/?ref_=adv_li_tt,1951,Short,20 min,,"Stars: Rachel Ames, Joe E. Brown, James Conklin, Tom Graeff",5,4,-1951
Fortissimo,https://www.imdb.com/title/tt4793504/?ref_=adv_li_tt,2015,"Short, Drama",,,"Stars: Debby Gerber, Kristen Hagen",0,0,-2015
An Angel Sometimes Wants to Drink Apple Juice,https://www.imdb.com/title/tt5907910/?ref_=adv_li_tt,2015,"Short, Drama",15 min,,"Stars: Brigid Abreu, Dennis Renard, Laura Louise Richardson, Mira Takamura",0,0,-2015
The Kiss,https://www.imdb.com/title/tt1047828/?ref_=adv_li_tt,2006,"Short, Romance",20 min,,"Stars: Philip Wang, Sandra Chheng, Janet Chu, Adrian Zaw",0,0,-2006
A Final Dance,https://www.imdb.com/title/tt1382224/?ref_=adv_li_tt,2007,"Short, Romance",6 min,,"Stars: Claudia Blair, Guido Furlani, Kate Reavis",0,0,-2007
37th Annie Awards,https://www.imdb.com/title/tt3043140/?ref_=adv_li_tt,2010,Reality-TV,,,Star: William Shatner,0,0,-2010
A Betrayal,https://www.imdb.com/title/tt4200596/?ref_=adv_li_tt,2014,"Short, Drama, Romance",5 min,,"Stars: Jaime Nikoletich, Joe Karam, Yiwei Xu",0,0,-2014
Delusion of the Fury: A Ritual of Dream and Delusion,https://www.imdb.com/title/tt4575790/?ref_=adv_li_tt,1971,Music,75 min,,"Stars: John Blount, Susan Marshall, Quendon Hornbrook",7,6.9,-1971
Romeo & Juliet Theme Italian Renaissance Ball (9th Annual) UCLA,https://www.imdb.com/title/tt5505280/?ref_=adv_li_tt,2012,"Short, Biography",,,"Stars: Tom Faraday, Cynthia Harper, James Zimmer",0,0,-2012
NCAA Men's Volleyball Championship,https://www.imdb.com/title/tt8354740/?ref_=adv_li_tt,2018,Sport,,,"Stars: Paul Sunderland, Kevin Barnett",0,0,-2018
Remember to Forget,https://www.imdb.com/title/tt5253286/?ref_=adv_li_tt,2016,"Short, Drama",7 min,,"Stars: Caity Ware, Brette O'Brien, Jacquelyn Doggette",0,0,-2016
The Talk,https://www.imdb.com/title/tt6654170/?ref_=adv_li_tt,2017,"Short, Comedy",6 min,,"Stars: Vidhatri Bandi, Adam Fried",0,0,-2017
Previous Possessions,https://www.imdb.com/title/tt1859574/?ref_=adv_li_tt,2007,"Short, Drama",6 min,,"Stars: Parnia Ayari, Adam Brooks",0,0,-2007
He Set the Trend,https://www.imdb.com/title/tt0490966/?ref_=adv_li_tt,2005,"Short, Sci-Fi",6 min,,"Stars: Blake Berns, Trent Rosenvelt, Tim Sevrel, Matthew Gale",6,8.3,-2005
Cardiovascular Pathology,https://www.imdb.com/title/tt11803320/?ref_=adv_li_tt,2010,"Documentary, Short",,,Star: Michael Fishbein,0,0,-2010
The Sleeping Mask,https://www.imdb.com/title/tt5838804/?ref_=adv_li_tt,2016,"Short, Comedy",7 min,,"Stars: Johnathan Lovett, Maximiliano Garcia, Stephen Chu, Victor Sherman",0,0,-2016
The Recorder,https://www.imdb.com/title/tt0481608/?ref_=adv_li_tt,2005,"Short, Drama",7 min,,"Stars: Charlie Andrews, Melanie Blair, Jimmy Clabots, Mel Fair",6,8.8,-2005
Westside Special Olympics (WSO) Games,https://www.imdb.com/title/tt11020586/?ref_=adv_li_tt,1976,Sport,,,"Stars: Rafer Johnson, Eunice Kennedy Shriver, Jo Kidd, Kelly Lange",0,0,-1976
Peachboy Takes a Walk in the Garden of Cosmic Fantasy,https://www.imdb.com/title/tt1424373/?ref_=adv_li_tt,2004,Short,4 min,,"Stars: Rafael Agustin, Kara Revel",0,0,-2004
NCAA 2014 Women's Basketball Championship,https://www.imdb.com/title/tt3618292/?ref_=adv_li_tt,2014,Sport,,,"Stars: Ashley Kozjek, David Kuskie, Brittany Aikens, Morgan Bailey",0,0,-2014
Heja Sverige!,https://www.imdb.com/title/tt5106610/?ref_=adv_li_tt,2015,Documentary,45 min,,Star: Bo Svenson,13,9.6,-2015
Ovation,https://www.imdb.com/title/tt8130498/?ref_=adv_li_tt,2016,"Short, Sci-Fi",4 min,,"Stars: Emily Jerez, Jacklyn Robinson, Reid Schmidt",0,0,-2016
Freshman Mushroom Project,https://www.imdb.com/title/tt5377474/?ref_=adv_li_tt,2015,"Drama, Fantasy, Mystery",120 min,,"Stars: Michael Q. Schmidt, Laura Lea, Peter Lu",0,0,-2015
Reunion,https://www.imdb.com/title/tt11753360/?ref_=adv_li_tt,2020,"Short, Romance",7 min,,"Stars: Brent Courtney, Kelsey Ritter, Patrick Sylvester",0,0,-2020
Immersion,https://www.imdb.com/title/tt10408136/?ref_=adv_li_tt,2020,"Short, Drama, Thriller",,,"Stars: Joe Finfera, Jonathan Medina, Elena Rosa, Fayna Sanchez",0,0,-2020
9 Red Portraits,https://www.imdb.com/title/tt4297046/?ref_=adv_li_tt,2014,"Short, Horror",5 min,,"Stars: Kate Conway, Tiago Santana",0,0,-2014
Gig,https://www.imdb.com/title/tt1357023/?ref_=adv_li_tt,2008,"Short, Action",5 min,PG-13,"Stars: Mike McNamee, Aidan Bristow, Nick Fullen-Collins, Jeffrey Wallace",13,7.1,-2008
38th Annie Awards,https://www.imdb.com/title/tt3293680/?ref_=adv_li_tt,2011,Reality-TV,,,Star: Tom Kenny,0,0,-2011
36th Annie Awards,https://www.imdb.com/title/tt3293656/?ref_=adv_li_tt,2009,Reality-TV,,,Star: Tom Kenny,0,0,-2009
39th Annie Awards,https://www.imdb.com/title/tt3315850/?ref_=adv_li_tt,2012,Reality-TV,,,"Stars: Patton Oswalt, Dina Sherman",0,0,-2012
Premiere (EP: Braddock),https://www.imdb.com/title/tt0062599/?ref_=adv_li_tt,1968,Drama,30 min,,"Stars: Tom Simcox, Stephen McNally, Karen Steele, Lloyd Bochner",0,0,-1968
The A-Team (EP: The Say U.N.C.L.E. Affair),https://www.imdb.com/title/tt0084967/?ref_=adv_li_tt,1986,"Action, Adventure, Crime",48 min,TV-PG,"Stars: George Peppard, Dirk Benedict, Dwight Schultz, Eddie Velez",195,6.9,-1986
Alias (EP: Reckoning),https://www.imdb.com/title/tt0285333/?ref_=adv_li_tt,2001,"Action, Drama, Mystery",44 min,TV-14,"Stars: Jennifer Garner, Ron Rifkin, Michael Vartan, Bradley Cooper",441,7.7,-2001
Alias (EP: Truth Be Told),https://www.imdb.com/title/tt0285333/?ref_=adv_li_tt,2001,"Action, Drama, Mystery",66 min,TV-14,"Stars: Jennifer Garner, Ron Rifkin, Michael Vartan, Bradley Cooper",934,8.4,-2001
Barnaby Jones (EP: Sunday: Doomsday),https://www.imdb.com/title/tt0069557/?ref_=adv_li_tt,1973,"Crime, Drama, Mystery",60 min,,"Stars: Buddy Ebsen, Lee Meriwether, Gary Lockwood, Corinne Camacho",76,7.6,-1973
"Beverly Hills, 90210 (EP: The 17 Year Itch)",https://www.imdb.com/title/tt0098749/?ref_=adv_li_tt,1990,"Drama, Romance",47 min,TV-14,"Stars: Jason Priestley, Shannen Doherty, Jennie Garth, Ian Ziering",210,6.1,-1990
CHiPs (EP: A Threat of War),https://www.imdb.com/title/tt0075488/?ref_=adv_li_tt,1982,"Crime, Drama, Mystery",60 min,TV-PG,"Stars: Larry Wilcox, Erik Estrada, Robert Pine, Danny Bonaduce",43,7.4,-1982
CHiPs (EP: Bright Flashes),https://www.imdb.com/title/tt0075488/?ref_=adv_li_tt,1982,"Crime, Drama, Mystery",48 min,TV-PG,"Stars: Larry Wilcox, Erik Estrada, Robert Pine, George Lindsey",38,6.9,-1982
CHiPs (EP: E.M.T.),https://www.imdb.com/title/tt0075488/?ref_=adv_li_tt,1980,"Crime, Drama, Mystery",49 min,TV-PG,"Stars: Erik Estrada, Larry Wilcox, Robert Pine, William Smith",53,7.4,-1980
CHiPs (EP: Hot Wheels),https://www.imdb.com/title/tt0075488/?ref_=adv_li_tt,1979,"Crime, Drama, Mystery",60 min,TV-PG,"Stars: Larry Wilcox, Erik Estrada, Robert Pine, Andrew Robinson",48,7.4,-1979
CHiPs (EP: K-9-1),https://www.imdb.com/title/tt0075488/?ref_=adv_li_tt,1982,"Crime, Drama, Mystery",48 min,TV-PG,"Stars: Erik Estrada, Larry Wilcox, Robert Pine, John Vernon",40,7.7,-1982
CHiPs (EP: Satan's Angels),https://www.imdb.com/title/tt0075488/?ref_=adv_li_tt,1980,"Crime, Drama, Mystery",48 min,TV-PG,"Stars: Erik Estrada, Larry Wilcox, Robert Pine, William Smith",49,6.8,-1980
CHiPs (EP: Silent Partner),https://www.imdb.com/title/tt0075488/?ref_=adv_li_tt,1982,"Crime, Drama, Mystery",60 min,TV-PG,"Stars: Erik Estrada, Larry Wilcox, Robert Pine, William Boyett",41,6.8,-1982
CHiPs (EP: Trained for Trouble),https://www.imdb.com/title/tt0075488/?ref_=adv_li_tt,1982,"Crime, Drama, Mystery",60 min,TV-PG,"Stars: Larry Wilcox, Erik Estrada, Robert Pine, Don Stroud",37,6.4,-1982
Charlie's Angels (EP: Angels on Campus),https://www.imdb.com/title/tt0073972/?ref_=adv_li_tt,1979,"Action, Adventure, Crime",50 min,TV-PG,"Stars: Jaclyn Smith, Cheryl Ladd, Shelley Hack, David Doyle",112,7.4,-1979
Class of '96 (EP: Pilot),https://www.imdb.com/title/tt0105972/?ref_=adv_li_tt,1993,Drama,,,"Stars: Jason Gedrick, Megan Ward, Brandon Douglas, Perry Moore",0,0,-1993
The Colbys (EP: Reaching Out),https://www.imdb.com/title/tt0088496/?ref_=adv_li_tt,1986,Drama,49 min,,"Stars: Charlton Heston, John James, Katharine Ross, Emma Samms",29,8.6,-1986
Dallas (EP: Eye of the Beholder),https://www.imdb.com/title/tt0077000/?ref_=adv_li_tt,1984,"Drama, Romance",50 min,TV-PG,"Stars: Barbara Bel Geddes, Patrick Duffy, Linda Gray, Larry Hagman",71,7.5,-1984
Dallas (EP: Fools Rush In),https://www.imdb.com/title/tt0077000/?ref_=adv_li_tt,1984,"Drama, Romance",50 min,TV-PG,"Stars: Barbara Bel Geddes, Patrick Duffy, Linda Gray, Larry Hagman",70,7.4,-1984
Dallas (EP: Peter's Principle),https://www.imdb.com/title/tt0077000/?ref_=adv_li_tt,1984,"Drama, Romance",49 min,TV-PG,"Stars: Barbara Bel Geddes, Patrick Duffy, Linda Gray, Larry Hagman",70,7.1,-1984
Dynasty (EP: The Hearing),https://www.imdb.com/title/tt0081856/?ref_=adv_li_tt,1982,"Drama, Romance",48 min,TV-PG,"Stars: John Forsythe, Linda Evans, Pamela Sue Martin, Pamela Bellwood",48,7.3,-1982
Emergency! (EP: Nurse's Wild),https://www.imdb.com/title/tt0068067/?ref_=adv_li_tt,1972,"Action, Adventure, Comedy",60 min,TV-G,"Stars: Robert Fuller, Julie London, Bobby Troup, Randolph Mantooth",65,7.9,-1972
Emergency! (EP: The Promise),https://www.imdb.com/title/tt0068067/?ref_=adv_li_tt,1973,"Action, Adventure, Comedy",60 min,Not Rated,"Stars: Robert Fuller, Julie London, Bobby Troup, Randolph Mantooth",51,8,-1973
Highway to Heaven (EP: A Special Love: Part 2),https://www.imdb.com/title/tt0086730/?ref_=adv_li_tt,1986,"Drama, Fantasy",45 min,TV-PG,"Stars: Michael Landon, Victor French, Josh Brolin, Margie Impert",68,8.7,-1986
Melrose Place (EP: Bye Bye Billy),https://www.imdb.com/title/tt0103491/?ref_=adv_li_tt,1993,"Drama, Romance",46 min,TV-14,"Stars: Josie Bissett, Thomas Calabro, Doug Savant, Grant Show",64,7.6,-1993
Paper Dolls (EP: 1.1),https://www.imdb.com/title/tt0086775/?ref_=adv_li_tt,1984,Drama,,,"Stars: Lloyd Bridges, Jennifer Warren, Brenda Vaccaro, Dack Rambo",5,7.8,-1984
Quincy M.E. (EP: Cry for Help),https://www.imdb.com/title/tt0074042/?ref_=adv_li_tt,1983,"Crime, Drama, Mystery",60 min,TV-PG,"Stars: Jack Klugman, Garry Walberg, John S. Ragin, Val Bisoglio",43,7.1,-1983
The Rockford Files (EP: The Prisoner of Rosemont Hall),https://www.imdb.com/title/tt0071042/?ref_=adv_li_tt,1978,"Crime, Drama, Mystery",60 min,TV-PG,"Stars: James Garner, Noah Beery Jr., Joe Santos, Frances Lee McCain",114,7.7,-1978
Route 66 (EP: Sleep on Four Pillows),https://www.imdb.com/title/tt0053534/?ref_=adv_li_tt,1961,Adventure,52 min,TV-Y7,"Stars: Martin Milner, George Maharis, Patty McCormack, Larry Gates",58,7.1,-1961
"Simon & Simon (EP: Love, Christy)",https://www.imdb.com/title/tt0081930/?ref_=adv_li_tt,1981,"Action, Crime, Drama",47 min,,"Stars: Jameson Parker, Gerald McRaney, Jeannie Wilson, Mary Carver",75,7.5,-1981
