,1,2,3,4,5,6
Garrett Danner,"S, G,S, G, S, S, S, S, S, S, G, G, S, G, S, G, G","S, S, S, S, S, S, G, G, S, S, G, G, S, S, G","S, S, S, S, S, G, G, S, S, S, S, S, G, S, S, S, G","G, G, G, S, G, G, S, S, S, S, S, S, S, G","S, S, S, S, S, S, S, S, G, S, S, G, S, S, S, S, G, S, G","G, S, S, S, G, S, S, S, G, S, G, G, S"
Aleksander Ruzic,"S, S, G, S, S","S, S, S","G, S, S, S, G, G, S","S, S, S, S, S","G, S, S",S
