word,female,male,difference,difference_abs
homework,0.8623843620969006,0.2668199170805796,-0.595564445016321,0.595564445016321
easy,1.139392672346208,0.6896268626082673,-0.44976580973794067,0.44976580973794067
stats,0.36586003240474574,0.0,-0.36586003240474574,0.36586003240474574
points,0.313594313489782,0.6608924099995894,0.3472980965098074,0.3472980965098074
launchpad,0.24564887890032924,0.5746890521735561,0.3290401732732269,0.3290401732732269
labs,0.3397271729472639,0.016419687204958747,-0.32330748574230517,0.32330748574230517
quizzes,0.5749229080646004,0.2791346824842987,-0.29578822558030177,0.29578822558030177
math,0.3240474572727748,0.03283937440991749,-0.29120808286285726,0.29120808286285726
ta,0.6376417707625568,0.3694429621115718,-0.268198808650985,0.268198808650985
physics,0.04181257513197094,0.2791346824842987,0.23732210735232773,0.23732210735232773
anish,0.0,0.23398054267066212,0.23398054267066212,0.23398054267066212
lab,0.28223488214080383,0.05746890521735561,-0.2247659769234482,0.2247659769234482
engaging,0.11498458161292009,0.3324986659004146,0.21751408428749452,0.21751408428749452
week,0.4703914702346731,0.25450515167686055,-0.21588631855781254,0.21588631855781254
credit,0.2874614540323002,0.5008004597512417,0.21333900571894143,0.21333900571894143
material,0.9407829404693462,0.7347810024219039,-0.20600193804744227,0.20600193804744227
rose,0.20383630376835832,0.0,-0.20383630376835832,0.20383630376835832
guy,0.0,0.1847214810557859,0.1847214810557859,0.1847214810557859
best,0.3345006010557675,0.5172201469562006,0.18271954590043304,0.18271954590043304
understand,0.5487900486071187,0.37354788391281146,-0.1752421646943072,0.1752421646943072
interesting,0.18815658809386923,0.3571281967078527,0.16897160861398344,0.16897160861398344
textbook,0.5069774734751477,0.340708509502894,-0.16626896397225366,0.16626896397225366
professors,0.20383630376835832,0.3694429621115718,0.16560665834321348,0.16560665834321348
slides,0.22474259133434382,0.38996757111777025,0.16522497978342643,0.16522497978342643
paper,0.07317200648094915,0.23808546447190182,0.16491345799095267,0.16491345799095267
great,0.43903203888569486,0.6034235047822338,0.16439146589653897,0.16439146589653897
man,0.0,0.16009195024834777,0.16009195024834777,0.16009195024834777
10,0.30314116970678934,0.15188210664586838,-0.15125906306092096,0.15125906306092096
bad,0.3292740291642711,0.1806165592545462,-0.14865746990972492,0.14865746990972492
taken,0.2874614540323002,0.13956734124214934,-0.14789411279015088,0.14789411279015088
course,0.512204045366644,0.3653380403103321,-0.14686600505631187,0.14686600505631187
14d,0.0,0.14367226304338904,0.14367226304338904,0.14367226304338904
chemistry,0.12021115350441647,0.26271499527933995,0.14250384177492348,0.14250384177492348
sherry,0.14111744107040192,0.0,-0.14111744107040192,0.14111744107040192
felt,0.24564887890032924,0.11083288863347153,-0.1348159902668577,0.1348159902668577
problem,0.1254377253959128,0.2586100734781003,0.13317234808218747,0.13317234808218747
review,0.22996916322584018,0.3612331185090924,0.13126395528325221,0.13126395528325221
coding,0.1306642972874092,0.0,-0.1306642972874092,0.1306642972874092
funny,0.0627188626979564,0.19293132465826526,0.13021246196030886,0.13021246196030886
deb,0.1254377253959128,0.0,-0.1254377253959128,0.1254377253959128
sessions,0.10453143782992735,0.22577069906818273,0.12123926123825537,0.12123926123825537
assignments,0.256102022683322,0.13546241944090964,-0.12063960324241235,0.12063960324241235
covered,0.1777034443108765,0.05746890521735561,-0.12023453909352089,0.12023453909352089
follow,0.15157058485339467,0.03283937440991749,-0.11873121044347718,0.11873121044347718
videos,0.1620237286363874,0.04515413981363655,-0.11686958882275084,0.11686958882275084
watch,0.13589086917890555,0.02052460900619843,-0.11536626017270712,0.11536626017270712
questions,1.22301782261015,1.3382045072041377,0.11518668459398773,0.11518668459398773
book,0.20383630376835832,0.0903082796272731,-0.11352802414108522,0.11352802414108522
reading,0.19860973187686196,0.3119740568942162,0.11336432501735424,0.11336432501735424
way,0.313594313489782,0.4269118673289274,0.11331755383914538,0.11331755383914538
chem,0.10453143782992735,0.21756085546570336,0.11302941763577601,0.11302941763577601
clicker,0.24042230700883294,0.34891835310537334,0.1084960460965404,0.1084960460965404
nice,0.2926880259237966,0.1847214810557859,-0.10796654486801072,0.10796654486801072
notes,0.22474259133434382,0.3324986659004146,0.10775607456607078,0.10775607456607078
quite,0.09407829404693462,0.20114116826074466,0.10706287421381004,0.10706287421381004
confusing,0.17247687241938012,0.06567874881983499,-0.10679812359954513,0.10679812359954513
give,0.12021115350441647,0.22577069906818273,0.10555954556376626,0.10555954556376626
lowest,0.1463440129618983,0.04104921801239686,-0.10529479494950145,0.10529479494950145
20,0.18293001620237287,0.07799351422355405,-0.10493650197881882,0.10493650197881882
examples,0.18293001620237287,0.07799351422355405,-0.10493650197881882,0.10493650197881882
fairly,0.1620237286363874,0.05746890521735561,-0.10455482341903177,0.10455482341903177
information,0.06794543458945278,0.17240671565206683,0.10446128106261406,0.10446128106261406
good,0.7892123556159515,0.6855219408070277,-0.10369041480892383,0.10369041480892383
want,0.24564887890032924,0.34891835310537334,0.10326947420504409,0.10326947420504409
5,0.16725030052788376,0.06567874881983499,-0.10157155170804877,0.10157155170804877
study,0.2926880259237966,0.39407249291900986,0.10138446699521325,0.10138446699521325
final,0.9878220874928135,0.8866631090677722,-0.10115897842504129,0.10115897842504129
prof,0.1777034443108765,0.07799351422355405,-0.09970993008732246,0.09970993008732246
readings,0.1306642972874092,0.22987562086942245,0.09921132358201326,0.09921132358201326
tests,0.5906026237390896,0.6896268626082673,0.09902423886917777,0.09902423886917777
work,0.42857889510270214,0.3324986659004146,-0.09608022920228754,0.09608022920228754
weekly,0.2508754507918256,0.1559870284471081,-0.0948884223447175,0.0948884223447175
time,0.7839857837244552,0.6896268626082673,-0.09435892111618782,0.09435892111618782
resources,0.08362515026394188,0.1765116374533065,0.09288648718936462,0.09288648718936462
organic,0.0,0.0903082796272731,0.0903082796272731,0.0903082796272731
..,0.0,0.0903082796272731,0.0903082796272731,0.0903082796272731
practical,0.0,0.0903082796272731,0.0903082796272731,0.0903082796272731
30,0.16725030052788376,0.07799351422355405,-0.0892567863043297,0.0892567863043297
proofs,0.08885172215543825,0.0,-0.08885172215543825,0.08885172215543825
tas,0.18293001620237287,0.09441320142851278,-0.08851681477386009,0.08851681477386009
difficult,0.5435634767156222,0.45564631993760524,-0.08791715677801698,0.08791715677801698
teach,0.156797156744891,0.06978367062107467,-0.08701348612381633,0.08701348612381633
history,0.0,0.08620335782603342,0.08620335782603342,0.08620335782603342
essays,0.0,0.08620335782603342,0.08620335782603342,0.08620335782603342
email,0.04181257513197094,0.12725257583843028,0.08544000070645934,0.08544000070645934
bio,0.04181257513197094,0.12725257583843028,0.08544000070645934,0.08544000070645934
ever,0.156797156744891,0.2421903862731415,0.08539322952825049,0.08539322952825049
explain,0.16725030052788376,0.08209843602479372,-0.08515186450309004,0.08515186450309004
live,0.10975800972142372,0.024629530807438117,-0.0851284789139856,0.0851284789139856
conceptual,0.10975800972142372,0.024629530807438117,-0.0851284789139856,0.0851284789139856
extra,0.37108660429624213,0.45564631993760524,0.08455971564136311,0.08455971564136311
professor,1.6150107144723775,1.69943762571323,0.08442691124085244,0.08442691124085244
pre-class,0.10453143782992735,0.02052460900619843,-0.08400682882372892,0.08400682882372892
v,0.08362515026394188,0.0,-0.08362515026394188,0.08362515026394188
sheet,0.08362515026394188,0.0,-0.08362515026394188,0.08362515026394188
1b,0.0,0.08209843602479372,0.08209843602479372,0.08209843602479372
phase,0.02090628756598547,0.10262304503099216,0.0817167574650067,0.0817167574650067
need,0.36586003240474574,0.4474364763351258,0.08157644393038005,0.08157644393038005
15,0.1254377253959128,0.04515413981363655,-0.08028358558227625,0.08028358558227625
truly,0.04703914702346731,0.12725257583843028,0.08021342881496296,0.08021342881496296
usually,0.1620237286363874,0.08209843602479372,-0.07992529261159367,0.07992529261159367
able,0.06794543458945278,0.1477771848446287,0.07983175025517593,0.07983175025517593
office,0.512204045366644,0.5911087393785148,0.07890469401187084,0.07890469401187084
statistics,0.0783985783724455,0.0,-0.0783985783724455,0.0783985783724455
two,0.2874614540323002,0.20935101186322402,-0.0781104421690762,0.0781104421690762
ochem,0.0,0.07799351422355405,0.07799351422355405,0.07799351422355405
tough,0.057492290806460046,0.13546241944090964,0.0779701286344496,0.0779701286344496
ge,0.11498458161292009,0.19293132465826526,0.07794674304534517,0.07794674304534517
studying,0.11498458161292009,0.19293132465826526,0.07794674304534517,0.07794674304534517
essay,0.02090628756598547,0.09851812322975247,0.077611835663767,0.077611835663767
question,0.1933831599853656,0.2709248388818193,0.07754167889645369,0.07754167889645369
finals,0.16725030052788376,0.0903082796272731,-0.07694202090061066,0.07694202090061066
project,0.10975800972142372,0.03283937440991749,-0.07691863531150622,0.07691863531150622
teaches,0.04703914702346731,0.1231476540371906,0.07610850701372329,0.07610850701372329
says,0.0313594313489782,0.10672796683223185,0.07536853548325365,0.07536853548325365
top,0.0313594313489782,0.10672796683223185,0.07536853548325365,0.07536853548325365
helped,0.13589086917890555,0.0615738270185953,-0.07431704216031026,0.07431704216031026
posts,0.03658600324047458,0.11083288863347153,0.07424688539299695,0.07424688539299695
far,0.13589086917890555,0.20935101186322402,0.07346014268431847,0.07346014268431847
concepts,0.4756180421261694,0.4022823365214893,-0.07333570560468011,0.07333570560468011
exams,0.810118643181937,0.8825581872665326,0.07243954408459552,0.07243954408459552
learn,0.256102022683322,0.3283937440991749,0.07229172141585288,0.07229172141585288
hw,0.10453143782992735,0.03283937440991749,-0.07169206342000986,0.07169206342000986
difficulty,0.12021115350441647,0.04925906161487623,-0.07095209188954024,0.07095209188954024
fun,0.09407829404693462,0.16419687204958744,0.07011857800265282,0.07011857800265282
amazing,0.2090628756598547,0.2791346824842987,0.07007180682444397,0.07007180682444397
solving,0.0,0.06978367062107467,0.06978367062107467,0.06978367062107467
fine,0.2090628756598547,0.13956734124214934,-0.06949553441770537,0.06949553441770537
la,0.02090628756598547,0.0903082796272731,0.06940199206128764,0.06940199206128764
--,0.16725030052788376,0.09851812322975247,-0.06873217729813129,0.06873217729813129
less,0.10975800972142372,0.04104921801239686,-0.06870879170902686,0.06870879170902686
wants,0.0627188626979564,0.13135749763966997,0.06863863494171357,0.06863863494171357
explaining,0.1463440129618983,0.07799351422355405,-0.06835049873834426,0.06835049873834426
linear,0.06794543458945278,0.0,-0.06794543458945278,0.06794543458945278
33a,0.06794543458945278,0.0,-0.06794543458945278,0.06794543458945278
algebra,0.06794543458945278,0.0,-0.06794543458945278,0.06794543458945278
explanations,0.10453143782992735,0.03694429621115718,-0.06758714161877018,0.06758714161877018
test,0.20383630376835832,0.2709248388818193,0.06708853511346097,0.06708853511346097
passionate,0.0156797156744891,0.08209843602479372,0.06641872035030462,0.06641872035030462
>,0.0156797156744891,0.08209843602479372,0.06641872035030462,0.06641872035030462
theater,0.0,0.06567874881983499,0.06567874881983499,0.06567874881983499
actual,0.09407829404693462,0.028734452608677807,-0.0653438414382568,0.0653438414382568
dropped,0.09407829404693462,0.028734452608677807,-0.0653438414382568,0.0653438414382568
problems,0.36586003240474574,0.43101678913016706,0.06515675672542132,0.06515675672542132
assignment,0.08885172215543825,0.024629530807438117,-0.06422219134800014,0.06422219134800014
?,0.18293001620237287,0.11904273223595091,-0.06388728396642196,0.06388728396642196
last,0.1254377253959128,0.0615738270185953,-0.06386389837731751,0.06386389837731751
complete,0.1254377253959128,0.0615738270185953,-0.06386389837731751,0.06386389837731751
might,0.1254377253959128,0.0615738270185953,-0.06386389837731751,0.06386389837731751
watching,0.08362515026394188,0.02052460900619843,-0.06310054125774345,0.06310054125774345
100,0.08885172215543825,0.15188210664586838,0.06303038449043012,0.06303038449043012
due,0.1777034443108765,0.11493781043471123,-0.06276563387616528,0.06276563387616528
person,0.1777034443108765,0.11493781043471123,-0.06276563387616528,0.06276563387616528
open,0.12021115350441647,0.05746890521735561,-0.06274224828706085,0.06274224828706085
memorization,0.03658600324047458,0.09851812322975247,0.06193211998927789,0.06193211998927789
ucla,0.2665551664663147,0.3283937440991749,0.06183857763286016,0.06183857763286016
since,0.22996916322584018,0.16830179385082716,-0.06166736937501302,0.06166736937501302
ca,0.11498458161292009,0.05336398341611592,-0.06162059819680417,0.06162059819680417
world,0.0,0.0615738270185953,0.0615738270185953,0.0615738270185953
success,0.0,0.0615738270185953,0.0615738270185953,0.0615738270185953
jokes,0.0,0.0615738270185953,0.0615738270185953,0.0615738270185953
specific,0.0,0.0615738270185953,0.0615738270185953,0.0615738270185953
kind,0.2090628756598547,0.1477771848446287,-0.061285690815226,0.061285690815226
annoying,0.02090628756598547,0.08209843602479372,0.06119214845880825,0.06119214845880825
everything,0.36063346051324935,0.2996592914904971,-0.06097416902275227,0.06097416902275227
along,0.08885172215543825,0.028734452608677807,-0.06011726954676044,0.06011726954676044
gave,0.08362515026394188,0.14367226304338904,0.06004711277944716,0.06004711277944716
possible,0.08362515026394188,0.14367226304338904,0.06004711277944716,0.06004711277944716
