word,gender,percent
professor,male,1.69943762571323
professor,female,1.6150107144723775
questions,male,1.3382045072041377
questions,female,1.22301782261015
easy,female,1.139392672346208
final,female,0.9878220874928135
material,female,0.9407829404693462
final,male,0.8866631090677722
exams,male,0.8825581872665326
homework,female,0.8623843620969006
exams,female,0.810118643181937
good,female,0.7892123556159515
time,female,0.7839857837244552
material,male,0.7347810024219039
midterm,female,0.6951340615690168
time,male,0.6896268626082673
tests,male,0.6896268626082673
easy,male,0.6896268626082673
hours,male,0.6896268626082673
good,male,0.6855219408070277
points,male,0.6608924099995894
hours,female,0.6585480583285422
ta,female,0.6376417707625568
midterm,male,0.6362628791921514
recommend,male,0.6280530355896721
great,male,0.6034235047822338
helpful,female,0.6010557675220822
homework,difference,0.595564445016321
office,male,0.5911087393785148
tests,female,0.5906026237390896
recommend,female,0.5749229080646004
quizzes,female,0.5749229080646004
launchpad,male,0.5746890521735561
hard,female,0.5592431923901113
helpful,male,0.5582693649685974
understand,female,0.5487900486071187
hard,male,0.5459545995648782
difficult,female,0.5435634767156222
make,male,0.5377447559623989
best,male,0.5172201469562006
grade,male,0.5131152251549609
course,female,0.512204045366644
office,female,0.512204045366644
definitely,male,0.5090103033537211
textbook,female,0.5069774734751477
credit,male,0.5008004597512417
exam,male,0.49669553795000204
grade,female,0.4860711859091622
make,female,0.4808446140176659
concepts,female,0.4756180421261694
week,female,0.4703914702346731
exam,female,0.4651648983431767
midterms,female,0.4651648983431767
difficult,male,0.45564631993760524
extra,male,0.45564631993760524
definitely,female,0.454711754560184
help,female,0.454711754560184
easy,difference,0.4497658097379407
need,male,0.4474364763351258
midterms,male,0.4433315545338861
every,male,0.43922663273264645
great,female,0.43903203888569486
first,female,0.43903203888569486
overall,male,0.4351217109314067
problems,male,0.43101678913016706
work,female,0.42857889510270214
way,male,0.4269118673289274
help,male,0.4228069455276877
overall,female,0.40767260753671664
every,female,0.40767260753671664
concepts,male,0.4022823365214893
first,male,0.4022823365214893
dr.,female,0.3972194637537239
study,male,0.39407249291900986
slides,male,0.38996757111777025
understand,male,0.37354788391281146
taking,male,0.37354788391281146
practice,male,0.37354788391281146
extra,female,0.37108660429624213
think,female,0.37108660429624213
practice,female,0.37108660429624213
think,male,0.3694429621115718
professors,male,0.3694429621115718
ta,male,0.3694429621115718
people,male,0.3694429621115718
need,female,0.36586003240474574
problems,female,0.36586003240474574
super,female,0.36586003240474574
stats,difference,0.36586003240474574
stats,female,0.36586003240474574
course,male,0.3653380403103321
dr.,male,0.3612331185090924
review,male,0.3612331185090924
everything,female,0.36063346051324935
interesting,male,0.3571281967078527
taking,female,0.355406888621753
want,male,0.34891835310537334
clicker,male,0.34891835310537334
points,difference,0.3472980965098074
could,female,0.34495374483876023
people,female,0.34495374483876023
could,male,0.34481343130413367
textbook,male,0.340708509502894
labs,female,0.3397271729472639
best,female,0.3345006010557675
engaging,male,0.3324986659004146
notes,male,0.3324986659004146
work,male,0.3324986659004146
always,female,0.3292740291642711
bad,female,0.3292740291642711
launchpad,difference,0.3290401732732269
ucla,male,0.3283937440991749
always,male,0.3283937440991749
learn,male,0.3283937440991749
super,male,0.3242888222979352
online,female,0.3240474572727748
math,female,0.3240474572727748
labs,difference,0.3233074857423051
online,male,0.32018390049669554
learning,female,0.3188208853812784
points,female,0.313594313489782
way,female,0.313594313489782
learning,male,0.3119740568942162
reading,male,0.3119740568942162
answer,male,0.30376421329173675
10,female,0.30314116970678934
everything,male,0.2996592914904971
quizzes,difference,0.29578822558030177
’,male,0.2955543696892574
study,female,0.2926880259237966
nice,female,0.2926880259237966
math,difference,0.29120808286285726
taken,female,0.2874614540323002
credit,female,0.2874614540323002
two,female,0.2874614540323002
still,female,0.2874614540323002
long,female,0.28223488214080383
’,female,0.28223488214080383
answer,female,0.28223488214080383
lab,female,0.28223488214080383
never,male,0.2791346824842987
amazing,male,0.2791346824842987
long,male,0.2791346824842987
physics,male,0.2791346824842987
quizzes,male,0.2791346824842987
2,female,0.2770083102493075
clear,female,0.2770083102493075
extremely,male,0.27502976068305895
read,female,0.2717817383578111
never,female,0.2717817383578111
test,male,0.2709248388818193
cares,male,0.2709248388818193
question,male,0.2709248388818193
ta,difference,0.268198808650985
homework,male,0.2668199170805796
ucla,female,0.2665551664663147
chemistry,male,0.26271499527933995
extremely,female,0.2613285945748184
highly,male,0.2586100734781003
problem,male,0.2586100734781003
learn,female,0.256102022683322
assignments,female,0.256102022683322
week,male,0.25450515167686055
honestly,female,0.2508754507918256
weekly,female,0.2508754507918256
group,female,0.2508754507918256
little,male,0.2462953080743812
2,male,0.2462953080743812
want,female,0.24564887890032924
cares,female,0.24564887890032924
launchpad,female,0.24564887890032924
felt,female,0.24564887890032924
ever,male,0.2421903862731415
still,male,0.2421903862731415
classes,female,0.24042230700883294
``,female,0.24042230700883294
clicker,female,0.24042230700883294
'',female,0.24042230700883294
paper,male,0.23808546447190182
clear,male,0.23808546447190182
physics,difference,0.23732210735232773
fair,female,0.23519573511733655
teaching,female,0.23519573511733655
anish,male,0.23398054267066212
anish,difference,0.23398054267066212
feel,male,0.23398054267066212
since,female,0.22996916322584018
review,female,0.22996916322584018
readings,male,0.22987562086942245
read,male,0.22577069906818273
sessions,male,0.22577069906818273
give,male,0.22577069906818273
lab,difference,0.22476597692344824
notes,female,0.22474259133434382
highly,female,0.22474259133434382
slides,female,0.22474259133434382
'',male,0.22166577726694306
``,male,0.22166577726694306
student,male,0.22166577726694306
classes,male,0.22166577726694306
teaching,male,0.22166577726694306
feel,female,0.21951601944284743
little,female,0.21951601944284743
better,female,0.21951601944284743
said,female,0.21951601944284743
group,male,0.21756085546570336
chem,male,0.21756085546570336
fair,male,0.21756085546570336
say,male,0.21756085546570336
understanding,male,0.21756085546570336
engaging,difference,0.2175140842874945
week,difference,0.21588631855781254
grading,female,0.21428944755135107
say,female,0.21428944755135107
bit,male,0.2134559336644637
better,male,0.2134559336644637
lecturer,male,0.2134559336644637
credit,difference,0.2133390057189415
two,male,0.20935101186322402
ask,male,0.20935101186322402
far,male,0.20935101186322402
worksheets,male,0.20935101186322402
put,female,0.2090628756598547
learned,female,0.2090628756598547
kind,female,0.2090628756598547
fine,female,0.2090628756598547
participation,female,0.2090628756598547
amazing,female,0.2090628756598547
high,female,0.2090628756598547
material,difference,0.20600193804744235
grading,male,0.20524609006198433
book,female,0.20383630376835832
rose,difference,0.20383630376835832
lecturer,female,0.20383630376835832
rose,female,0.20383630376835832
series,female,0.20383630376835832
professors,female,0.20383630376835832
test,female,0.20383630376835832
quite,male,0.20114116826074466
enough,female,0.19860973187686196
reading,female,0.19860973187686196
understanding,female,0.19860973187686196
times,female,0.19860973187686196
honestly,male,0.19703624645950493
put,male,0.19703624645950493
especially,female,0.1933831599853656
question,female,0.1933831599853656
studying,male,0.19293132465826526
ge,male,0.19293132465826526
content,male,0.19293132465826526
funny,male,0.19293132465826526
ap,female,0.18815658809386923
interesting,female,0.18815658809386923
guy,difference,0.1847214810557859
guy,male,0.1847214810557859
nice,male,0.1847214810557859
?,female,0.18293001620237287
student,female,0.18293001620237287
*,female,0.18293001620237287
content,female,0.18293001620237287
tas,female,0.18293001620237287
20,female,0.18293001620237287
bit,female,0.18293001620237287
examples,female,0.18293001620237287
best,difference,0.182719545900433
learned,male,0.1806165592545462
enough,male,0.1806165592545462
times,male,0.1806165592545462
bad,male,0.1806165592545462
'm,male,0.1806165592545462
thought,male,0.1806165592545462
prof,female,0.1777034443108765
amount,female,0.1777034443108765
due,female,0.1777034443108765
person,female,0.1777034443108765
easier,female,0.1777034443108765
covered,female,0.1777034443108765
participation,male,0.1765116374533065
especially,male,0.1765116374533065
resources,male,0.1765116374533065
understand,difference,0.17524216469430717
confusing,female,0.17247687241938012
ask,female,0.17247687241938012
anything,female,0.17247687241938012
school,female,0.17247687241938012
sometimes,female,0.17247687241938012
went,female,0.17247687241938012
teacher,male,0.17240671565206683
series,male,0.17240671565206683
information,male,0.17240671565206683
everyone,male,0.17240671565206683
interesting,difference,0.16897160861398347
since,male,0.16830179385082716
basically,female,0.16725030052788376
different,female,0.16725030052788376
thought,female,0.16725030052788376
often,female,0.16725030052788376
grades,female,0.16725030052788376
--,female,0.16725030052788376
30,female,0.16725030052788376
explain,female,0.16725030052788376
finals,female,0.16725030052788376
5,female,0.16725030052788376
textbook,difference,0.16626896397225369
professors,difference,0.16560665834321345
slides,difference,0.1652249797834264
paper,difference,0.16491345799095267
great,difference,0.164391465896539
stuff,male,0.16419687204958744
ap,male,0.16419687204958744
fun,male,0.16419687204958744
average,female,0.1620237286363874
usually,female,0.1620237286363874
graded,female,0.1620237286363874
'm,female,0.1620237286363874
fairly,female,0.1620237286363874
videos,female,0.1620237286363874
man,male,0.16009195024834777
man,difference,0.16009195024834777
found,male,0.16009195024834777
said,male,0.16009195024834777
high,male,0.16009195024834777
effort,male,0.16009195024834777
worksheets,female,0.156797156744891
attention,female,0.156797156744891
end,female,0.156797156744891
teach,female,0.156797156744891
second,female,0.156797156744891
similar,female,0.156797156744891
ever,female,0.156797156744891
1,female,0.156797156744891
worth,male,0.1559870284471081
genuinely,male,0.1559870284471081
weekly,male,0.1559870284471081
based,male,0.15188210664586838
probably,male,0.15188210664586838
10,male,0.15188210664586838
important,male,0.15188210664586838
100,male,0.15188210664586838
reviews,female,0.15157058485339467
ended,female,0.15157058485339467
important,female,0.15157058485339467
probably,female,0.15157058485339467
found,female,0.15157058485339467
multiple,female,0.15157058485339467
follow,female,0.15157058485339467
10,difference,0.15125906306092093
bad,difference,0.14865746990972492
taken,difference,0.14789411279015088
succeed,male,0.1477771848446287
second,male,0.1477771848446287
challenging,male,0.1477771848446287
kind,male,0.1477771848446287
able,male,0.1477771848446287
...,male,0.1477771848446287
miss,male,0.1477771848446287
course,difference,0.1468660050563119
based,female,0.1463440129618983
lowest,female,0.1463440129618983
explaining,female,0.1463440129618983
least,female,0.1463440129618983
thing,female,0.1463440129618983
sometimes,male,0.14367226304338904
end,male,0.14367226304338904
answers,male,0.14367226304338904
basically,male,0.14367226304338904
14d,difference,0.14367226304338904
something,male,0.14367226304338904
graded,male,0.14367226304338904
14d,male,0.14367226304338904
try,male,0.14367226304338904
possible,male,0.14367226304338904
gave,male,0.14367226304338904
chemistry,difference,0.14250384177492348
flipped,female,0.14111744107040192
sherry,difference,0.14111744107040192
something,female,0.14111744107040192
find,female,0.14111744107040192
3,female,0.14111744107040192
teacher,female,0.14111744107040192
pay,female,0.14111744107040192
sherry,female,0.14111744107040192
around,female,0.14111744107040192
everyone,female,0.14111744107040192
taken,male,0.13956734124214934
fine,male,0.13956734124214934
short,male,0.13956734124214934
'd,male,0.13956734124214934
grades,male,0.13956734124214934
different,male,0.13956734124214934
major,female,0.13589086917890555
section,female,0.13589086917890555
ls,female,0.13589086917890555
far,female,0.13589086917890555
helped,female,0.13589086917890555
watch,female,0.13589086917890555
attention,male,0.13546241944090964
come,male,0.13546241944090964
tough,male,0.13546241944090964
assignments,male,0.13546241944090964
felt,difference,0.13481599026685773
problem,difference,0.13317234808218745
major,male,0.13135749763966997
wants,male,0.13135749763966997
*,male,0.13135749763966997
pay,male,0.13135749763966997
went,male,0.13135749763966997
part,male,0.13135749763966997
review,difference,0.13126395528325224
discussions,female,0.1306642972874092
worth,female,0.1306642972874092
day,female,0.1306642972874092
coding,difference,0.1306642972874092
choice,female,0.1306642972874092
coding,female,0.1306642972874092
readings,female,0.1306642972874092
another,female,0.1306642972874092
funny,difference,0.13021246196030883
thing,male,0.12725257583843028
given,male,0.12725257583843028
back,male,0.12725257583843028
email,male,0.12725257583843028
truly,male,0.12725257583843028
attend,male,0.12725257583843028
multiple,male,0.12725257583843028
bio,male,0.12725257583843028
harder,male,0.12725257583843028
classroom,male,0.12725257583843028
might,female,0.1254377253959128
complete,female,0.1254377253959128
...,female,0.1254377253959128
15,female,0.1254377253959128
last,female,0.1254377253959128
straightforward,female,0.1254377253959128
deb,difference,0.1254377253959128
problem,female,0.1254377253959128
classroom,female,0.1254377253959128
deb,female,0.1254377253959128
harder,female,0.1254377253959128
use,female,0.1254377253959128
see,male,0.1231476540371906
3,male,0.1231476540371906
amount,male,0.1231476540371906
teaches,male,0.1231476540371906
sessions,difference,0.12123926123825537
assignments,difference,0.12063960324241235
covered,difference,0.12023453909352087
topics,female,0.12021115350441647
right,female,0.12021115350441647
give,female,0.12021115350441647
chemistry,female,0.12021115350441647
effort,female,0.12021115350441647
open,female,0.12021115350441647
simple,female,0.12021115350441647
difficulty,female,0.12021115350441647
completely,female,0.12021115350441647
attend,female,0.12021115350441647
enjoyed,male,0.11904273223595091
subject,male,0.11904273223595091
anything,male,0.11904273223595091
easier,male,0.11904273223595091
average,male,0.11904273223595091
use,male,0.11904273223595091
write,male,0.11904273223595091
?,male,0.11904273223595091
although,male,0.11904273223595091
follow,difference,0.11873121044347719
videos,difference,0.11686958882275085
watch,difference,0.11536626017270711
questions,difference,0.11518668459398786
ca,female,0.11498458161292009
engaging,female,0.11498458161292009
biology,female,0.11498458161292009
challenging,female,0.11498458161292009
almost,female,0.11498458161292009
quiz,female,0.11498458161292009
ge,female,0.11498458161292009
getting,female,0.11498458161292009
studying,female,0.11498458161292009
answers,female,0.11498458161292009
given,female,0.11498458161292009
least,male,0.11493781043471123
day,male,0.11493781043471123
often,male,0.11493781043471123
useful,male,0.11493781043471123
almost,male,0.11493781043471123
topics,male,0.11493781043471123
general,male,0.11493781043471123
anyone,male,0.11493781043471123
person,male,0.11493781043471123
school,male,0.11493781043471123
due,male,0.11493781043471123
book,difference,0.11352802414108523
reading,difference,0.11336432501735422
way,difference,0.11331755383914535
chem,difference,0.11302941763577602
love,male,0.11083288863347153
point,male,0.11083288863347153
posts,male,0.11083288863347153
around,male,0.11083288863347153
1,male,0.11083288863347153
felt,male,0.11083288863347153
life,male,0.11083288863347153
taught,female,0.10975800972142372
less,female,0.10975800972142372
workload,female,0.10975800972142372
tries,female,0.10975800972142372
project,female,0.10975800972142372
live,female,0.10975800972142372
conceptual,female,0.10975800972142372
clicker,difference,0.10849604609654041
nice,difference,0.1079665448680107
notes,difference,0.10775607456607077
quite,difference,0.10706287421381003
confusing,difference,0.10679812359954514
says,male,0.10672796683223185
ended,male,0.10672796683223185
7a,male,0.10672796683223185
top,male,0.10672796683223185
getting,male,0.10672796683223185
right,male,0.10672796683223185
choice,male,0.10672796683223185
experience,male,0.10672796683223185
completely,male,0.10672796683223185
give,difference,0.10555954556376627
lowest,difference,0.10529479494950143
20,difference,0.10493650197881882
examples,difference,0.10493650197881882
fairly,difference,0.10455482341903176
part,female,0.10453143782992735
literally,female,0.10453143782992735
love,female,0.10453143782992735
try,female,0.10453143782992735
explanations,female,0.10453143782992735
half,female,0.10453143782992735
succeed,female,0.10453143782992735
pre-class,female,0.10453143782992735
see,female,0.10453143782992735
hw,female,0.10453143782992735
sessions,female,0.10453143782992735
job,female,0.10453143782992735
