,Year,White_SB,Asian_SB,Hispanic_SB,Two_SB,Black_SB,Unknown_SB,PacificIslander_SB,AmericanIndian_SB,International_SB,Transfer_SB,FirstGeneration_SB,White_GL,Asian_GL,Hispanic_GL,Two_GL,Black_GL,Unknown_GL,PacificIslander_GL,AmericanIndian_GL,International_GL,Transfer_GL,FirstGeneration_GL
0,"2016-2017",27,28.6,21.7,5.1,3.2,2.1,0.3,0.2,11.9,23.7,30.7,62.9,10.7,12.8,7.6,0.8,2.2,0,0,2.1,7.5,10.5
1,"2017-2018",26.7,28.08,22.21,5.21,3.42,2.17,0.28,0.18,11.76,23.39,30.32,62.5,9.5,13.3,8.2,1.1,2.2,0.6,0,2.2,6.9,10.8
2,"2018-2019",29.4,26.47,21.73,5.65,3.28,2.36,0.27,0.24,10.76,22.01,28.27,61.5,9.6,12.9,7.8,1.1,2.2,0.6,0.6,1.9,6.3,10.3
3,"2019-2020",26.3,27.7,22.4,6,3.4,2.5,0.2,0.2,11.3,23.3,20.8,62.3,9.6,13.2,8.7,0.8,2.3,0,0,2.2,8.1,8
4,Average,27.31,27.7125,22.01,5.49,3.325,2.2825,0.2625,0.205,11.43,23.1,27.5225,62.3,9.86,13.05,8.075,0.95,2.225,0.3,0.15,2.1,7.2,9.9
