Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,14.990000,15.170000,14.520000,14.730000,14.730000,898400
2023-01-04,14.970000,15.220000,14.860000,15.150000,15.150000,824300
2023-01-05,15.110000,15.510000,14.920000,15.490000,15.490000,928000
2023-01-06,15.610000,15.990000,15.420000,15.460000,15.460000,956700
2023-01-09,15.750000,16.049999,15.440000,15.820000,15.820000,615600
2023-01-10,15.720000,16.150000,15.610000,16.120001,16.120001,491000
2023-01-11,16.290001,16.469999,15.980000,16.100000,16.100000,448300
2023-01-12,16.150000,16.600000,16.049999,16.480000,16.480000,708400
2023-01-13,16.330000,16.400000,15.920000,16.389999,16.389999,499500
2023-01-17,16.389999,16.490000,15.950000,16.129999,16.129999,679300
2023-01-18,16.230000,16.320000,15.610000,15.900000,15.900000,623700
2023-01-19,15.810000,15.940000,15.600000,15.720000,15.720000,419700
2023-01-20,15.960000,16.270000,15.720000,16.180000,16.180000,468600
2023-01-23,16.350000,16.690001,16.299999,16.610001,16.610001,460300
2023-01-24,16.549999,16.700001,16.450001,16.670000,16.670000,235400
2023-01-25,16.480000,17.010000,16.370001,17.000000,17.000000,453300
2023-01-26,17.200001,17.700001,17.049999,17.299999,17.299999,565000
2023-01-27,17.100000,17.200001,16.850000,16.860001,16.860001,347400
2023-01-30,16.590000,16.809999,16.389999,16.430000,16.430000,427700
2023-01-31,16.620001,17.080000,16.580000,17.000000,17.000000,716800
2023-02-01,17.010000,17.430000,16.920000,17.230000,17.230000,680800
2023-02-02,17.450001,17.730000,17.280001,17.709999,17.709999,676000
2023-02-03,17.559999,17.969999,17.500000,17.900000,17.900000,403900
2023-02-06,17.610001,17.930000,17.480000,17.690001,17.690001,532600
2023-02-07,17.700001,17.740000,17.250000,17.600000,17.600000,329100
2023-02-08,17.370001,17.530001,17.139999,17.230000,17.230000,272800
2023-02-09,17.809999,17.809999,16.709999,16.719999,16.719999,477200
2023-02-10,16.500000,16.870001,16.500000,16.600000,16.600000,331300
2023-02-13,16.500000,16.639999,16.320000,16.340000,16.340000,328200
2023-02-14,16.219999,16.629999,16.100000,16.469999,16.469999,402300
2023-02-15,16.320000,17.230000,16.230000,17.219999,17.219999,417000
2023-02-16,16.990000,17.400000,16.850000,17.040001,17.040001,448300
2023-02-17,17.000000,17.080000,16.719999,16.879999,16.879999,374100
2023-02-21,16.700001,16.959999,16.600000,16.790001,16.790001,583400
2023-02-22,16.840000,17.600000,16.840000,17.040001,17.040001,866500
2023-02-23,17.250000,18.469999,17.040001,18.320000,18.320000,1429900
2023-02-24,17.910000,18.290001,17.650000,17.920000,17.920000,812100
2023-02-27,18.100000,18.580000,17.840000,18.280001,18.280001,790200
2023-02-28,18.020000,18.660000,18.020000,18.440001,18.440001,846000
2023-03-01,18.379999,18.750000,18.040001,18.580000,18.580000,725600
2023-03-02,18.350000,19.059999,18.180000,19.040001,19.040001,720500
2023-03-03,19.100000,19.290001,18.719999,18.770000,18.770000,526900
2023-03-06,18.760000,18.879999,18.309999,18.379999,18.379999,349800
2023-03-07,18.440001,18.520000,18.209999,18.430000,18.430000,440200
2023-03-08,18.430000,18.650000,17.930000,18.230000,18.230000,446200
2023-03-09,18.270000,18.330000,17.570000,17.590000,17.590000,650700
2023-03-10,17.570000,17.670000,17.160000,17.410000,17.410000,823700
2023-03-13,17.150000,17.360001,16.900000,17.190001,17.190001,514400
2023-03-14,17.650000,17.730000,17.049999,17.180000,17.180000,449500
2023-03-15,16.780001,17.170000,16.750000,17.110001,17.110001,509500
2023-03-16,16.920000,17.620001,16.809999,17.280001,17.280001,494900
