online_service,days,label
Threads,0.04167,1 hour
ChatGPT,5,5 days
Instagram,76,2.5 months
Spotify,152,5 months
Dropbox,213,7 months
Facebook,304,10 months
Foursquare,395,13 months
Twitter,730,2 years
Airbnb,912,2.5 years
Kickstarter,912,2.5 years
Netflix,1277,3.5 years
