YEAR,VORP
1969,3.0
1970,1.0
1971,3.0
1972,1.0
1973,1.0
1974,3.0
1975,1.0
1976,2.0
1977,1.0
1978,2.0
1979,3.0
1980,3.0
1981,0.0
1982,2.0
1983,3.0
1984,3.0
1985,1.0
1986,0.0
1987,2.0
1988,0.0
1989,1.0
1990,1.0
1991,0.0
1992,2.0
1993,1.0
1994,0.0
1995,3.0
1996,0.0
1997,1.0
1998,3.0
1999,1.0
2000,1.0
2001,1.0
2002,2.0
2003,1.0
2004,1.0
2005,1.0
2006,2.0
2007,1.0
2008,3.0
2009,2.0
2010,0.0
2011,2.0
2012,0.0
2013,1.0
2014,3.0
2015,2.0
