YEAR,VORP of Players’ Best Year
1969,13.9
1971,7
1972,0.6
1973,2.8
1974,8.2
1975,1.2
1976,0.8
1977,5.1
1978,-0.3
1979,2.7
1980,2.5
1982,4.6
1983,0.6
1984,0.5
1985,-0.1
1987,5.2
1989,2.3
1990,0
1991,-0.1
1992,1.9
1993,-0.2
1995,-0.2
1997,0
1998,-0.3
1999,5.2
2000,0.1
2001,0.8
2002,4
2003,0.6
2004,3.6
2005,0
2006,1.1
2007,2.4
2008,17.2
2009,4.1
