YEAR,Best Draft Pick
1969,1
1970,14
1971,2
1972,58
1973,16
1974,1
1975,2
1976,3
1977,3
1978,22
1979,2
1980,11
1982,72
1983,28
1984,21
1985,49
1987,11
1989,10
1990,36
1992,18
1993,46
1995,9
1997,31
1998,33
1999,3
2000,11
2001,39
2002,33
2003,31
2004,43
2005,54
2006,26
2007,27
2008,4
2009,17
2011,35
2013,14
2014,13
2015,30
