YEAR,Years at UCLA
1969,4
1971,3
1972,4
1973,2
1974,4
1975,4
1976,3.5
1977,4
1978,4
1979,4
1980,4
1982,3
1983,4
1984,3.7
1985,4
1987,3.5
1989,4
1990,4
1991,4
1992,3.75
1993,3
1995,4
1997,4
1998,3.7
1999,2
2000,2
2001,4
2002,4
2003,4
2004,1
2005,4
2006,3.3
2007,3
2008,2
2009,2.5
2011,2.5
2013,2.5
2014,2.6
2015,2.5
