class,difference,department,Class_Cap
"STATS 10 - CHEN, M.S.",0.4621,,"STATS 10 - CHEN, M.S."
"ART HIS 154D - KUMAR, A.M.",0.459007692,,"ART HIS 154D - KUMAR, A.M."
"PHYSCI 3 - COOPER, R.H.",0.45027235,,"PHYSCI 3 - COOPER, R.H."
"GEOG 1 - ROBINSON, C.M.",0.444455856,,"GEOG 1 - ROBINSON, C.M."
"PSYCH 100B - ANKOWSKI, A.N.",0.4376,,"PSYCH 100B - ANKOWSKI, A.N."
"PSYCH 126 - TAYLOR, S.",0.433905894,,"PSYCH 126 - TAYLOR, S."
"COM SCI 111 - REIHER, P.L.",0.420955021,,"COM SCI 111 - REIHER, P.L."
"MATH 174E - LYU, H.",0.415415415,,"MATH 174E - LYU, H."
"LIFESCI 7C - GUTIERREZ, M.A.",0.409068831,,"LIFESCI 7C - GUTIERREZ, M.A."
"STATS 20 - LEW, V.",0.407987512,,"STATS 20 - LEW, V."
"ANTHRO 3 - BOUM, A.",0.4057,,"ANTHRO 3 - BOUM, A."
"AN N EA 15W - COONEY, K.M.",0.403215185,,"AN N EA 15W - COONEY, K.M."
"MGMT 1B - GARDNER TRELOAR, J",0.403,,"MGMT 1B - GARDNER TRELOAR, J"
"PSYCH 100B - FIRSTENBERG, I.",0.4018,,"PSYCH 100B - FIRSTENBERG, I."
"AF AMER 1 - PIERRE, J.",0.401629371,,"AF AMER 1 - PIERRE, J."
"ANTHRO 135 - BOUM, A.",0.398633634,,"ANTHRO 135 - BOUM, A."
"PHYSICS 1A - BELLAFARD, A.",0.390846108,,"PHYSICS 1A - BELLAFARD, A."
"HIST 1B - RUIZ, T.F.",0.390219119,,"HIST 1B - RUIZ, T.F."
"ART 133 - LOWE, N.R.",0.389010989,,"ART 133 - LOWE, N.R."
"ASIAN M60W - HAYES, M.R.",0.387985085,,"ASIAN M60W - HAYES, M.R."
"NEUROSC M145 - CHANDLER, S.H.",0.384673674,,"NEUROSC M145 - CHANDLER, S.H."
"EE BIOL 115 - DINES, J.P.",0.373469031,,"EE BIOL 115 - DINES, J.P."
"LIFESCI 30A - SHEVTSOV, J.",0.370882883,,"LIFESCI 30A - SHEVTSOV, J."
"FRNCH 3 - JANSMA, K.",0.364615385,,"FRNCH 3 - JANSMA, K."
"DIS STD M139 - TARLETON, C.E.",0.364,,"DIS STD M139 - TARLETON, C.E."
"ANTHRO 124S - SNYDER, J.K.",0.363147863,,"ANTHRO 124S - SNYDER, J.K."
"PSYCH 175 - HARRELL, S.P.",0.361939762,,"PSYCH 175 - HARRELL, S.P."
"FILM TV 122M - KELLY, R.M.",0.3614,,"FILM TV 122M - KELLY, R.M."
"POL SCI 195CE - BAWN, K.",0.359328929,,"POL SCI 195CE - BAWN, K."
"GEOG 125 - LE, T.B.",0.358191433,,"GEOG 125 - LE, T.B."
"AF AMER 6 - STREETER, C.A.",0.358,,"AF AMER 6 - STREETER, C.A."
"EDUC 413A - 0VARRO, B.A.",0.353946054,,"EDUC 413A - 0VARRO, B.A."
"PSYCH 130 - PAQUETTE-SMITH, M.",0.352205611,,"PSYCH 130 - PAQUETTE-SMITH, M."
"PHYSICS 1C - ME0CHEKANIAN, E.",0.351924752,,"PHYSICS 1C - ME0CHEKANIAN, E."
"STATS 100A - WU, Y.",0.350233766,,"STATS 100A - WU, Y."
"FRNCH 41 - JANSMA, K.",0.349190381,,"FRNCH 41 - JANSMA, K."
"PSYCH 116 - WONG, J.",0.348496994,,"PSYCH 116 - WONG, J."
"ENGL 119 - HUEHLS, M.A.",0.337743644,,"ENGL 119 - HUEHLS, M.A."
"PHYSICS 5B - PAU, J.T.",0.336368223,,"PHYSICS 5B - PAU, J.T."
"PUB PLC 10C - ROWE, B.T.",0.334634635,,"PUB PLC 10C - ROWE, B.T."
"COMM 157 - PETERSON, S.M.",0.3298,,"COMM 157 - PETERSON, S.M."
"ANTHRO 137P - BOUM, A.",0.327550651,,"ANTHRO 137P - BOUM, A."
"FILM TV 122E - BURTNETT, S.S.",0.326173826,,"FILM TV 122E - BURTNETT, S.S."
"PSYCH 188B - WIMER, S.",0.326126126,,"PSYCH 188B - WIMER, S."
"COM HLT 48 - HERMAN, D.R.",0.325220921,,"COM HLT 48 - HERMAN, D.R."
"HIST 1C - HUNT, L.A.",0.324783784,,"HIST 1C - HUNT, L.A."
"BMD RES 5HA - CLARK, I.E.",0.323957443,,"BMD RES 5HA - CLARK, I.E."
"ECON 134 - MCDEVITT, E.P.",0.31664995,,"ECON 134 - MCDEVITT, E.P."
"EDUC M103 - HUH, C.R.",0.315284715,,"EDUC M103 - HUH, C.R."
"ENVIRON 25 - BASSETT, J.C.",0.3121,,"ENVIRON 25 - BASSETT, J.C."
"FILM TV 84A - MANN, D.R.",0.30909938,,"FILM TV 84A - MANN, D.R."
"COMM 110 - KICENSKI, K.K.",0.3024,,"COMM 110 - KICENSKI, K.K."
"STATS 100B - CHRISTOU, N.",0.296996997,,"STATS 100B - CHRISTOU, N."
"CHEM 14B - COUREY, A.J.",0.295828172,,"CHEM 14B - COUREY, A.J."
"AN N EA 10W - SCHNIEDEWIND, W.M.",0.29242997,,"AN N EA 10W - SCHNIEDEWIND, W.M."
"ENGR 111 - BULU-TACIROGLU, M.",0.2897,,"ENGR 111 - BULU-TACIROGLU, M."
"ENGCOMP 100W - LOPEZ, E.M.",0.2892,,"ENGCOMP 100W - LOPEZ, E.M."
"PHYSCI 121 - CHOE, R.",0.2872,,"PHYSCI 121 - CHOE, R."
