"","Department","AmericanIndianPercentChange","NumberOfAmericanIndianIncrease"
"1","ALL","82.67","6.2"
"2","ANTHROPOLOGY","100","1"
"3","Dentistry","-100","-1"
"4","Electrical and Computer Engineering","Inf","0.4"
"5","Ethnomusicology","0","0"
"6","Gender Studies","30","0.3"
"7","Law","Inf","1"
"8","Musicology","Inf","0.4"
"9","Nursing","66.67","0.8"
"10","Public Policy","Inf","2"
"11","Sociology","100","1"
"12","Theater","0","0"
