,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
Linguistics,0.5103734439834025,0.4896265560165975,0.0,0.15767634854771784,0.08298755186721991,0.02074688796680498,0.0,0.04149377593360996,0.6970954356846473,1.0
Luskin Cntr for Innovation,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Materials Science & Engr (MSE),0.2676056338028169,0.7323943661971831,0.0,0.5211267605633804,0.0,0.07042253521126761,0.0,0.07042253521126761,0.3450704225352113,1.0
Mathematics,0.11229946524064172,0.8877005347593583,0.0,0.27807486631016043,0.0106951871657754,0.016042780748663103,0.0,0.0427807486631016,0.6524064171122995,1.0
Mechanical & Aerospace Engr (MANE),0.11340206185567012,0.88659793814433,0.0,0.45103092783505155,0.0,0.0,0.0,0.04639175257731959,0.5025773195876289,1.0
"Microbiology, Immunology & Molecular Genetics (MIMG)",0.2807017543859649,0.7192982456140351,0.0,0.2807017543859649,0.0,0.03508771929824561,0.0,0.0,0.6842105263157895,1.0
Military Science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minor in Biomedical Research,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0
"Molecular, Cell & Develop Biology (MCDB)",0.42857142857142855,0.5714285714285714,0.0,0.21428571428571427,0.03571428571428571,0.10714285714285714,0.0,0.0,0.6428571428571429,1.0
Music,0.3007518796992481,0.6992481203007519,0.0,0.09774436090225563,0.015037593984962405,0.015037593984962405,0.0,0.13032581453634087,0.7343358395989975,1.0
Musicology,0.43243243243243246,0.5743243243243243,0.02702702702702703,0.06756756756756756,0.06756756756756756,0.0,0.0,0.06081081081081081,0.777027027027027,1.0
Naval Science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nazarian Center for Israel Studies (NCIS),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Neuroscience Interdepartmental Prog,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Nr Eastern Langs & Cultures,0.5755102040816327,0.4244897959183674,0.0,0.04081632653061224,0.0,0.0,0.0,0.08163265306122448,0.8775510204081632,1.0
Nursing,0.8935108153078203,0.1064891846921797,0.033277870216306155,0.20299500831946754,0.064891846921797,0.08319467554076539,0.0,0.026622296173044926,0.5890183028286189,1.0
Occupational & Envtl Health Cntr (CTR O&EH),0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Philosophy,0.2549019607843137,0.7450980392156863,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.9019607843137255,1.0
Physics & Astronomy,0.140117994100295,0.859882005899705,0.0,0.20206489675516223,0.0,0.029498525073746312,0.0,0.013274336283185842,0.7684365781710915,1.0
