"proportions","deptNames","proportions.1","deptNames.1","proportions.2","deptNames.2","proportions.3","deptNames.3","proportions.4","deptNames.4","proportions.5","deptNames.5","proportions.6","deptNames.6","proportions.7","deptNames.7","proportions.8","deptNames.8"
"1","ASIAN AMERICAN STUDIES","1","ASIAN AMERICAN STUDIES","1","ASIAN AMERICAN STUDIES","1","ASIAN AMERICAN STUDIES","1","ASIAN AMERICAN STUDIES","0.958333333333333","ASIAN AMERICAN STUDIES","1","ASIAN AMERICAN STUDIES","0.961538461538462","ASIAN AMERICAN STUDIES","1","ASIAN AMERICAN STUDIES"
"1","Occupational Envtl Health Cntr CTR O EH","1","Public Health","0.619047619047619","ASIAN LANGUAGES AND CULTURES","0.639150943396226","ASIAN LANGUAGES AND CULTURES","0.58495145631068","ASIAN LANGUAGES AND CULTURES","0.599033816425121","ASIAN LANGUAGES AND CULTURES","0.596658711217184","ASIAN LANGUAGES AND CULTURES","0.8","Occupational Envtl Health Cntr CTR O EH","1","Occupational Envtl Health Cntr CTR O EH"
"0.619469026548673","Materials Science Engr MSE","0.581560283687943","ASIAN LANGUAGES AND CULTURES","0.567375886524823","Materials Science Engr MSE","0.583333333333333","Materials Science Engr MSE","0.488721804511278","Materials Science Engr MSE","0.571428571428571","Occupational Envtl Health Cntr CTR O EH","0.571428571428571","Occupational Envtl Health Cntr CTR O EH","0.595454545454545","ASIAN LANGUAGES AND CULTURES","0.646055437100213","ASIAN LANGUAGES AND CULTURES"
"0.568019093078759","ASIAN LANGUAGES AND CULTURES","0.573770491803279","Materials Science Engr MSE","0.5","Occupational Envtl Health Cntr CTR O EH","0.571428571428571","Occupational Envtl Health Cntr CTR O EH","0.456896551724138","Mechanical Aerospace Engr MANE","0.486301369863014","Materials Science Engr MSE","0.503597122302158","Materials Science Engr MSE","0.463619402985075","Dentistry","0.52112676056338","Materials Science Engr MSE"
"0.432835820895522","Electrical and Computer Engineering","0.423312883435583","Electrical and Computer Engineering","0.468085106382979","BIOENGINEERING","0.444444444444444","BIOENGINEERING","0.45136186770428","Dentistry","0.452722063037249","Mechanical Aerospace Engr MANE","0.46078431372549","Dentistry","0.46195652173913","Mechanical Aerospace Engr MANE","0.465898174831892","Dentistry"
