"proportions","deptNames","proportions.1","deptNames.1","proportions.2","deptNames.2","proportions.3","deptNames.3","proportions.4","deptNames.4","proportions.5","deptNames.5","proportions.6","deptNames.6","proportions.7","deptNames.7","proportions.8","deptNames.8"
"1","AEROSPACE STUDIES","1","CA CENTER FOR POPULATION RESEARCH","1","Classics","1","CANCER PREVENTION CONTROL RES","1","CANCER PREVENTION CONTROL RES","1","CANCER PREVENTION CONTROL RES","1","CANCER PREVENTION CONTROL RES","1","Dean GSE IS","Inf","Dean HASOM"
"1","CANCER PREVENTION CONTROL RES","1","Classics","1","Dean STFT","1","Classics","1","Dean LSPA","1","Dean GSE IS","1","Dean GSE IS","1","Getty Convservation Program","1","AMERICAN INDIAN STUDIES"
"1","Classics","1","Communication Studies","1","Duchenne Musc Dyst Research Cntr DMD Center","1","Dean HASOM","1","Getty Convservation Program","1","Dean LSPA","1","Dean HASOM","1","Health Policy Research Center","1","CENTER FOR JEWISH STUDIES"
"1","Dean HSSEAS","1","Germanic Languages","1","Germanic Languages","1","Educational Initiatives","1","Health Policy Research Center","1","Educational Initiatives","1","Educational Initiatives","1","Indo European Studies","1","Dean GSE IS"
"1","Fowler Museum","1","Getty Convservation Program","1","Getty Convservation Program","1","Getty Convservation Program","1","Honors Programs","1","Getty Convservation Program","1","Health Policy Research Center","1","Institute for Pure Applied Math","1","Dean LSPA"
