GEONAME,Pop_Tot,Prop_18y,Prop_64y,Prop_65y+,Prop_Blk,Prop_Lat,Prop_Whi,Prop_Asi,Prop_Ami,Prop_NHO,Prop_FPL1,Prop_FPL2,Prop_forb,Prop_Eng,LE,Prop_prsc,Prop_3rdg,Prop_edLH,Prop_edHG,Prop_edSC,Prop_edCG,MHI,No_libr,Prop_empl,Prop_emsu,Prop_vote,Rte_resp,Prop_PA,Prop_groc,Prop_60mi,No_farm,No_EBT,Prop_foin,No_CalF,Rte_CalF,Prop_FRPM,Prop_obse,Prop_DM,Rte_coin,Rte_brin,Prop_smok,Rte_luca,Rte_COPD,Rte_CVD,Prop_hbu1,Prop_hbu2,Prop_ownr,Prop_rentr,No_hless,Prop_asth,Rte_crim,Rte_hom,Rte_alco,Propt_envi,No_gasw,Rte_te17,Rte_te19,Prop_LBW,Rte_IMR,Prop_1stt,Prop_depr,Rte_suic,Rte_UOD,Rte_syin,Rte_goin,Rte_hiv,Prop_uinC,Prop_uinA,Prop_duinC,Prop_duinA,Propt_HPI,Rte_mein,Rte_cein,Rte_luin,Prop_fru,Prop_bev,Prop_hyp,Prop_marj,Prop_HI,Prop_grad,Prop_trua
Los Angeles Council District  6,283654,0.2615,0.6456,0.0929,0.0328,0.7193,0.1511,0.0942,0.0017,0.0008,0.2278,0.5432,0.4727,0.2123,82.51,0.465,0.2785,0.3572,0.2435,0.2315,0.1678,45481,3,0.9,0.5951,0.6017,1.7846,0.3298,0.7308,0.157,2,2,0.2337,-,-,0.8313,0.2296,0.1056,38.0136,124.2873,0.1213,24.4389,22.9724,205.702,0.583,0.317,0.375,0.625,1856,0.0662,473,5,10,21,11,8.7208,21.6574,0.081,4.7963,0.8813,0.0624,7,6,26,134,412,0.0877,0.3437,0.1386,0.2495,20.9,8.1,10.1,29.1,0.1,0.5,0.2,0.1,0.0,0.9,0.3
Los Angeles Council District  7,278658,0.2538,0.6354,0.1108,0.0355,0.7098,0.1921,0.0599,0.002,0.0007,0.1747,0.4355,0.3971,0.1369,81.91,0.524,0.3249,0.3172,0.2586,0.2544,0.1697,57352,3,0.912,0.6244,0.6212,2.7606,0.3562,0.4932,0.125,1,1,0.2213,-,-,0.8413,0.2861,0.0981,38.0083,124.3589,0.1431,26.1449,32.2423,222.063,0.531,0.264,0.602,0.398,1206,0.0681,361,5,8,27,32,7.5253,17.4226,0.068,4.7290,0.8376,0.0687,9,6,24,104,227,0.0758,0.2778,0.1070,0.2926,30.7,21.8,8.4,39.6,0.1,0.5,0.2,0.1,0.0,0.8,0.3
Los Angeles Council District  8,252296,0.265,0.632,0.103,0.3996,0.5666,0.0177,0.0137,0.0016,0.0007,0.289,0.5469,0.3198,0.1296,76.87,0.494,0.2436,0.3587,0.2585,0.2705,0.1123,32922,5,0.884,0.6244,0.536,0.5287,0.3564,0.5774,0.137,1,1,0.2853,-,-,0.9006,0.3187,0.1543,39.5921,144.1977,0.1576,36.3397,30.7636,303.839,0.632,0.389,0.373,0.627,1497,0.0851,1498,21,6,32,47,10.5148,28.0394,0.0866,6.3167,0.7764,0.0604,5,9,57,437,726,0.0914,0.3399,0.1239,0.2863,2.0,17.8,8.9,37.3,0.1,0.5,0.3,0.1,0.1,0.8,0.3
Los Angeles Council District  9,285373,0.2983,0.6397,0.062,0.1512,0.7918,0.0319,0.024,0.0009,0.0002,0.3869,0.7041,0.4335,0.2420,80.56,0.427,0.2575,0.5521,0.2351,0.1532,0.0596,28614,5,0.906,0.5347,0.5038,0.332,0.3228,0.8409,0.133,2,2,0.3142,-,-,0.9061,0.3259,0.1304,38.0612,159.7499,0.1085,26.7955,23.9503,232.609,0.683,0.411,0.267,0.733,3458,0.0638,1120,12,9,8,10,9.7750,21.3750,0.0812,5.9478,0.7679,0.08,4,6,34,267,553,0.0876,0.4296,0.1274,0.315,0.0,28.3,6.9,41.6,0.1,0.5,0.2,0.1,0.1,0.8,0.4
Los Angeles Council District 10,275480,0.2209,0.6597,0.1194,0.2543,0.4912,0.0877,0.1643,0.0017,0.0008,0.2257,0.4773,0.4216,0.2146,82.61,0.544,0.2932,0.2609,0.2195,0.2513,0.2683,40218,5,0.904,0.6257,0.5919,0.5691,0.3309,0.8028,0.121,4,4,0.2332,-,-,0.8647,0.2276,0.1345,35.6067,152.4090,0.1354,25.0016,22.8148,227.325,0.574,0.313,0.239,0.761,1112,0.0727,759,9,18,13,194,6.3056,17.5947,0.0796,5.2800,0.809,0.0652,8,7,63,301,900,0.0851,0.377,0.1723,0.2113,21.6,30.0,6.0,36.3,0.1,0.4,0.2,0.2,0.0,0.8,0.4
Los Angeles Council District 11,266594,0.1712,0.6761,0.1527,0.0531,0.1905,0.6229,0.1302,0.0015,0.0019,0.094,0.1818,0.244,0.0542,85.78,0.735,0.612,0.0705,0.0928,0.2201,0.6166,93379,7,0.929,0.7608,0.7234,35.0951,0.4153,0.6777,0.066,10,10,0.1620,-,-,0.4979,0.1039,0.0523,32.6473,186.0488,0.0858,23.9058,17.1349,153.05,0.434,0.227,0.429,0.571,2529,0.0544,330,2,22,41,385,0.9883,2.5255,0.0697,3.4789,0.9186,0.1634,9,7,18,113,320,0.0319,0.1374,0.0838,0.137,84.6,41.2,6.8,37.6,0.2,0.2,0.2,0.2,0.0,0.9,0.3
Los Angeles Council District 12,271125,0.1845,0.6481,0.1673,0.0412,0.2835,0.4787,0.1938,0.0016,0.0012,0.0908,0.229,0.3189,0.0754,82.99,0.671,0.5729,0.0966,0.2028,0.2974,0.4031,80913,5,0.934,0.7159,0.6881,2.4408,0.343,0.4766,0.149,2,2,0.1561,-,-,0.5983,0.2157,0.0696,36.6462,121.0869,0.1218,26.5934,26.5849,201.035,0.475,0.238,0.685,0.315,906,0.0638,284,2,12,36,136,1.3597,5.2183,0.0677,3.4327,0.8968,0.0797,8,8,12,73,164,0.0524,0.1652,0.0824,0.1942,69.2,10.6,8.9,32.6,0.1,0.3,0.2,0.1,0.0,0.9,0.3
Los Angeles Council District 13,258882,0.1859,0.6971,0.117,0.0322,0.5424,0.2376,0.1852,0.0017,0.0008,0.2297,0.4886,0.4957,0.2660,83.76,0.564,0.365,0.2635,0.1863,0.2354,0.3148,39448,5,0.899,0.6182,0.6163,0.8372,0.3557,0.852,0.145,6,6,0.2385,-,-,0.8564,0.1869,0.1134,38.9370,115.9402,0.1337,22.6405,23.3577,204.462,0.55,0.29,0.14,0.86,3036,0.0487,718,4,22,3,505,7.1713,15.0256,0.0744,3.4857,0.7997,0.0943,6,8,114,451,1746,0.0825,0.3737,0.2333,0.2129,23.0,13.1,7.5,33.3,0.2,0.4,0.2,0.1,0.0,0.8,0.3
Los Angeles Council District 14,259741,0.2148,0.6644,0.1208,0.0584,0.6819,0.1286,0.1279,0.0025,0.0007,0.2189,0.4399,0.3779,0.1844,82.72,0.543,0.3375,0.3396,0.1964,0.2224,0.2416,45157,6,0.905,0.5807,0.6137,1.0496,0.3689,0.6432,0.121,9,8,0.2111,-,-,0.858,0.2841,0.1275,43.3669,127.3164,0.1303,20.4385,20.9087,206.106,0.52,0.264,0.326,0.674,5590,**,1051,6,25,24,91,7.4286,17.7176,0.0782,4.3572,0.8559,0.0972,8,12,64,283,1473,0.0874,0.2872,0.1319,0.2537,23.7,**,9.9,43.5,0.1,0.4,0.2,0.2,0.1,0.8,0.3
Los Angeles Council District 15,269467,0.2741,0.6188,0.1071,0.1272,0.6377,0.1634,0.0648,0.0022,0.0048,0.2472,0.4887,0.3177,0.1367,81.16,0.523,0.3137,0.3079,0.2505,0.2733,0.1683,46423,4,0.902,0.6176,0.5603,2.5648,0.3491,0.517,0.101,3,2,0.2979,-,-,0.8261,0.2736,0.1266,31.4835,79.2781,0.1355,28.6300,26.3520,215.8852,0.519,0.273,0.399,0.601,1773,0.0673,697,11,12,66,"2,347",9.6783,24.6432,0.0678,5.4143,0.8285,0.0804,9,9,27,215,400,0.0625,0.2989,0.1400,0.2344,20.2,**,12.6,33.6,0.1,0.5,0.2,0.1,0.0,0.8,0.4
