Store,Standard_Price,Cheapest_Name,Cheapest_Price,Total_Drinks,Milk Tea,Tea/Fruit Tea,Blended,Specialty,Latest_Hour
Just Boba,5.75,Brewed Tea,4.75,53,12,18,11,12,11:55
It's Boba Time,6.30,Teaspresso,4.25,147,32,31,68,16,10:00
Junbi,6.34,Americano or Matcha Straight Up,4.69,47,20,10,4,13,8:00
Sharetea,8.11,Classic Oolong Milk Tea,5.75,72,27,25,8,12,12:00
Meet Fresh,6.00,Classic Teas,4.50,51,14,20,3,14,11:00
Lollipop Fresh ,8.25,Classic Green/Black Tea,5.75,36,11,12,13,0,6:00
Honey Krush,5.50,Americano or Fresh Tea,5.00,38,9,8,0,21,10:00
