"","committee_name","contribution_receipt_amount"
"133","GRETCHEN DRISKELL FOR CONGRESS",750
"134","JAMIE RASKIN FOR CONGRESS",750
"135","PAC FOR A CHANGE",750
"136","KAMALA HARRIS FOR SENATE",732.27
"137","BARBARA LEE FOR CONGRESS",700
"138","BREDESEN VICTORY FUND",700
"139","FRIENDS OF RAJA FOR CONGRESS",700
"140","THE LINCOLN PROJECT",700
"141","IT STARTS TODAY",696.13
"142","STOP REPUBLICANS",675
"143","JOSH HAWLEY FOR SENATE",650
"144","WARNOCK FOR GEORGIA",650
"145","JOSH HARDER FOR CONGRESS",640
"146","ALYSE FOR ALASKA",600
"147","DEVIN NUNES CAMPAIGN COMMITTEE",600
"148","JOHN JAMES FOR SENATE INC",600
"149","MCSALLY FOR SENATE INC",600
"150","YOUNG KIM FOR CONGRESS",600
"151","ARBALLO FOR CONGRESS",572
"152","HILL SWING LEFT FUND 2018",550
"153","RITA HART FOR IOWA",550
"154","JULIA BROWNLEY FOR CONGRESS",525
"155","JANET GARRETT FOR CONGRESS COMMITTEE",520
"156","BOB CASEY FOR SENATE INC",515
"157","BLUE WAVE PROJECT",500
"158","BOOKER VICTORY FUND",500
"159","CARRIGAN FOR CONGRESS",500
"160","CISNEROS VICTORY FUND 2020",500
"161","CORY BOOKER FOR SENATE",500
"162","CULBERSON FOR CONGRESS",500
"163","DAN HAMILTON FOR CONGRESS",500
"164","DAVID SHAPIRO FOR CONGRESS",500
"165","GEORGE SCOTT FOR CONGRESS",500
"166","GINA ORTIZ JONES FOR CONGRESS",500
"167","GRASSROOTS DEMOCRATS HQ",500
"168","HELLER FOR SENATE",500
"169","JASON CROW FOR CONGRESS",500
"170","JESSICA KING FOR WISCONSIN",500
"171","JOE KENNEDY FOR CONGRESS",500
"172","KOHL FOR CONGRESS",500
"173","LESLIE COCKBURN FOR CONGRESS",500
"174","MAGGIE FOR NH",500
"175","MARGARET GOOD FOR CONGRESS",500
"176","MATT LONGJOHN FOR CONGRESS",500
"177","NATIONAL ORGANIZATION FOR WOMEN PAC",500
"178","REDDICK FOR CONGRESS",500
"179","ROUDA HILL VICTORY FUND",500
"180","SEA CHANGE LEADERSHIP PAC",500
"181","SENATE CONSERVATIVES FUND",500
"182","SUPER STATES 2020",500
"183","VOTE MAMA",500
"184","SWING LEFT",488.91
"185","DEMOCRATS WORK FOR AMERICA, INC",450
"186","WENDY DAVIS FOR CONGRESS",450
"187","COMMITTEE TO ELECT TEDRA COBB",400
"188","KIRKPATRICK FOR CONGRESS",400
"189","LIUBA FOR CONGRESS",400
"190","SUSIE LEE FOR CONGRESS",375
"191","TINA SMITH FOR MINNESOTA",352
"192","BULLOCK FOR PRESIDENT",350
"193","CRAMER FOR SENATE",350
"194","DICKINSON FOR CONGRESS COMMITTEE",350
"195","FRIENDS OF JIM CLYBURN",350
"196","INDIVISIBLE ACTION",350
"197","JUDY CHU FOR CONGRESS",350
"198","NORTH CAROLINA DEMOCRATIC PARTY - FEDERAL",350
"199","TED CRUZ FOR SENATE",350
"200","HOUSE MAJORITY PAC",315
"201","EVA PUTZOVA FOR CONGRESS",310
"202","DEMOC PAC",300
"203","DITCH FUND",300
"204","NEVADANS FOR STEVEN HORSFORD",300
"205","FRIENDS OF JOHN DELANEY",270.2
"206","AMERICAN SOCIETY OF ANESTHESIOLOGISTS POLITICAL ACTION COMMITTEE (ASA PAC)",250
"207","ANTHONY BROWN FOR CONGRESS",250
"208","BARRAGAN FOR CONGRESS",250
"209","BOLLIER FOR KANSAS",250
"210","BOOKER BULLOCK HARRISON VICTORY FUND",250
"211","BOOKER FOR THE PEOPLE, LTD",250
"212","BRILL FOR CONGRESS",250
"213","CA-BAM PAC",250
"214","COLIN ALLRED FOR CONGRESS",250
"215","DEBBIE FOR CONGRESS",250
"216","DEMOCRATIC PARTY OF SOUTH CAROLINA",250
"217","DONNA SHALALA FOR CONGRESS",250
"218","EHR FOR CONGRESS",250
"219","ELIZABETH HENG FOR CONGRESS",250
"220","ELLISON FOR CONGRESS",250
"221","EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND)",250
"222","FRIENDS OF SCHUMER",250
"223","FRONTLINE DEFENSE FUND",250
"224","HILLARY O'CONNOR MUERI FOR OHIO",250
"225","JOYCE ELLIOTT FOR CONGRESS",250
"226","KATE FOR CONGRESS",250
"227","KEVIN DE LEON FOR SENATE",250
"228","LEVIN VICTORY FUND 2020",250
"229","MARSHA FOR SENATE",250
"230","MICHELLE STEEL FOR CONGRESS",250
"231","MOE BROWN FOR CONGRESS",250
"232","ONE COUNTRY FUND",250
"233","OSMACK FOR MISSOURI",250
"234","PLANNED PARENTHOOD ACTION FUND INC PAC, DBA PLANNED PARENTHOOD FEDERAL PAC",250
"235","RAYBOULD FOR US SENATE",250
"236","RICK SCOTT FOR FLORIDA",250
"237","ROSS FOR MAINE",250
"238","SCHOLTEN FOR CONGRESS",250
"239","SERVE AMERICA PAC",250
"240","SHARICE FOR CONGRESS",250
"241","SPANBERGER FOR CONGRESS",250
"242","SWALWELL FOR AMERICA",250
"243","TEAM RYAN",250
"244","TULSI ALOHA",250
"245","WHEN DEMOCRATS TURN OUT PAC",250
"246","ZANNETOS FOR CONGRESS",250
"247","HICKENLOOPER FOR COLORADO",245
"248","CONGRESSIONAL PROGRESSIVE CAUCUS PAC",241
"249","MIKIE SHERRILL FOR CONGRESS",225
"250","LAW ENFORCEMENT FOR A SAFER AMERICA PAC",202
"251","JOE WILSON FOR CONGRESS",200
"252","TEAM GRAHAM, INC.",200
"253","KIM NELSON FOR CONGRESS",183
"254","DEMOCRACY ENGINE, INC., PAC",150
"255","ELIZABETH FOR MA, INC",150
"256","FRIENDS OF LUCY MCBATH",150
"257","GIFFORDS PAC",126
"258","ARCHIE PARNELL FOR CONGRESS",125
"259","FRIENDS OF ANDREW YANG",125
"260","LET AMERICA VOTE PAC",115
"261","MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",110
"262","SINEMA FOR ARIZONA",101
"263","ARIZONA DEMOCRATIC PARTY",100
"264","BERA FOR CONGRESS",100
"265","BOB HUGIN FOR SENATE INC",100
"266","CANDACE FOR 24",100
"267","DR. RAUL RUIZ FOR CONGRESS",100
"268","ELECT DEMOCRATIC WOMEN",100
"269","FRIENDS OF BRENDA JONES",100
"270","FRIENDS OF DESIREE TIMS",100
"271","INSLEE FOR AMERICA",100
"272","MATT ROSENDALE FOR MONTANA",100
"273","SHAHID BUTTAR FOR CONGRESS COMMITTEE",100
"274","MONTANANS FOR TESTER",65
"275","JUSTICE DEMOCRATS PAC",50
"276","THE BLUE INITIATIVE",50
"277","MONTANANS FOR BULLOCK",35
"278","MAURA SULLIVAN FOR CONGRESS",20
"279","LEAHY FOR U.S. SENATOR COMMITTEE",7
"280","WELCH FOR CONGRESS",2.08
