,committee_name,contribution_receipt_amount,,,
119,ENGEL FOR CONGRESS,1000,,,
120,HATTERSLEY FOR CONGRESS,1000,,,
121,HER TIME PAC,1000,,,
122,MIKE LEVIN FOR CONGRESS,1000,,,
123,NEW SOUTH SUPER PAC,1000,,,
124,PEOPLE FOR GOVERNMENT PAC,1000,,,
125,SCHOLTEN FOR CONGRESS,1000,,,
126,SHERMAN FOR CONGRESS,1000,,,
127,TRICIA ZUNKER FOR WISCONSIN,1000,,,
128,WORKER POWER PAC,1000,,,
129,DITCH FUND,975,,,
130,DEVIN NUNES CAMPAIGN COMMITTEE,900,,,
131,DONNA SHALALA FOR CONGRESS,900,,,
132,PACIFIC PALISADES DEMOCRATIC CLUB CAMPAIGN ACCOUNT,870,,,
133,BRINDISI FOR CONGRESS,866.67,,,
134,MAX ROSE FOR CONGRESS,866.67,,,
135,GEORGIANS FOR KELLY LOEFFLER,850,,,
136,TED LIEU FOR CONGRESS,850,,,
137,CAPA21- FEDERAL,800,,,
138,PAC TO THE FUTURE,785.5,,,
139,ANGIE CRAIG FOR CONGRESS,766.67,,,
140,BETSY DIRKSEN LONDRIGAN FOR CONGRESS,766.67,,,
141,XOCHITL FOR NEW MEXICO,766.67,,,
142,ALYSE FOR ALASKA,750,,,
143,BIDEN FIGHT FUND,750,,,
144,CAL CUNNINGHAM VICTORY FUND,750,,,
145,SWALWELL FOR AMERICA,750,,,
146,SWALWELL FOR CONGRESS,750,,,
147,THOM TILLIS COMMITTEE,750,,,
148,MCSALLY FOR SENATE INC,700,,,
149,HOUSE MAJORITY PAC,692,,,
150,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,652.5,,,
151,SUNRISE PAC,643,,,
152,BOLLIER FOR KANSAS,635.71,,,
153,FINKENAUER FOR CONGRESS,616.67,,,
154,VOTER PROTECTION PROJECT,580,,,
155,THE ACTION PAC,578,,,
156,BILL FOSTER FOR CONGRESS,575,,,
157,LET AMERICA VOTE PAC,567.5,,,
158,ELISE FOR CONGRESS,550,,,
159,ANDY KIM FOR CONGRESS,516.67,,,
160,JOE CUNNINGHAM FOR CONGRESS,516.67,,,
161,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,515,,,
162,FRIENDS OF BERNIE SANDERS,504.42,,,
163,AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION PAC,500,,,
164,CHRIS COONS FOR DELAWARE,500,,,
165,CITIZENS FOR BOYLE,500,,,
166,COHN FOR CONGRESS 2020,500,,,
167,CORY GARDNER FOR SENATE,500,,,
168,DR. RAUL RUIZ FOR CONGRESS,500,,,
169,ELISSA SLOTKIN FOR CONGRESS,500,,,
170,FRIENDS OF DAN FEEHAN,500,,,
171,FRIENDS OF INTELLIGENT DEMOCRACY,500,,,
172,FRIENDS OF LUCY MCBATH,500,,,
173,"JOHN JAMES FOR SENATE, INC.",500,,,
174,KATHLEEN WILLIAMS FOR MONTANA,500,,,
175,KUNKEL FOR CONGRESS,500,,,
176,LCV VICTORY FUND,500,,,
177,MARGARET GOOD FOR CONGRESS,500,,,
178,NEW AMERICAN VOICES,500,,,
179,NUESTRO PAC,500,,,
180,ROSEN FOR NEVADA,500,,,
181,SCHAKOWSKY FOR CONGRESS,500,,,
182,THE PEOPLE FOR RUSH DARWISH,500,,,
183,TOM WONG FOR CONGRESS,500,,,
184,YUKONG ZHAO FOR CONGRESS,500,,,
185,PROGRESSIVE TURNOUT PROJECT,474,,,
186,GINA ORTIZ JONES FOR CONGRESS,450,,,
187,LAURA LOOMER FOR CONGRESS INC,450,,,
188,DEMOCRATIC ACTION,430,,,
189,ELECT DEMOCRATIC WOMEN,425,,,
190,CHUY GARCIA FOR CONGRESS,405,,,
191,MONDAIRE FOR CONGRESS,404,,,
192,"DEMOCRACY ENGINE, INC., PAC",400,,,
193,SHAHEEN FOR SENATE,392.5,,,
194,MIKE SIEGEL FOR CONGRESS,390,,,
195,FRIENDS OF ANDREW YANG,385,,,
196,CONGRESSIONAL BLACK CAUCUS PAC,350.5,,,
197,MARIE NEWMAN FOR CONGRESS,335,,,
198,JIMMY GOMEZ FOR CONGRESS,318.64,,,
199,JOHN LEWIS FOR CONGRESS,311,,,
200,ROOTED IN COMMUNITY LEADERSHIP PAC,303.75,,,
201,"BOOKER FOR THE PEOPLE, LTD",302.14,,,
202,JUSTICE DEMOCRATS PAC,302,,,
203,ASHLEY HINSON FOR CONGRESS,300,,,
204,DALE CRAFTS FOR CONGRESS,300,,,
205,GREG RATHS FOR CONGRESS 2020,300,,,
206,NATIONAL DEMOCRATIC REDISTRICTING PAC,300,,,
207,NINA TURNER FOR US,300,,,
208,TED HOWZE FOR CONGRESS 2020,300,,,
209,TONY GONZALES FOR CONGRESS,300,,,
210,COLIN ALLRED FOR CONGRESS,266.67,,,
211,COMMITTEE TO ELECT JARED GOLDEN,266.67,,,
212,DELGADO FOR CONGRESS,266.67,,,
213,ELIZABETH PANNILL FLETCHER FOR CONGRESS,266.67,,,
214,JACKIE GORDON FOR CONGRESS,266.67,,,
215,LAUREN UNDERWOOD FOR CONGRESS,266.67,,,
216,NEVADANS FOR STEVEN HORSFORD,266.67,,,
217,SHARICE FOR CONGRESS,266.67,,,
218,SPANBERGER FOR CONGRESS,266.67,,,
219,SRI FOR CONGRESS,266.67,,,
220,SUSIE LEE FOR CONGRESS,266.67,,,
221,TJ COX FOR CONGRESS,266.67,,,
222,KENDRA HORN FOR CONGRESS,266.66,,,
