YEAR(S),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
2008,5.89,2.19,0,0.05,0.18,0,0,0,0.01,0.08,2.07,2.61,13.08
2009,0.17,4.04,0.42,0.01,0,0.04,0,0,0,0.59,0,2.46,7.73
2010,6.89,4.64,0.25,0.77,0.05,0.01,0,0,0,1.62,0.6,10.41,25.24
2011,1.15,1.6,2.67,0.05,0.66,0.01,0,0,0.02,0.61,1.25,1.28,9.3
2012,1.14,0.32,1.4,1.53,0.02,0,0.03,0,0.01,0.32,1.04,2.4,8.21
2013,1.04,0.3,0.85,0.02,0.66,0,0.07,0,0,0.12,0.78,0.34,4.18
2014,0.01,2.34,0.47,0.37,0,0,0.01,0.07,0.11,0.18,0.67,4.41,8.64
2015,0.87,0.24,0.49,0.22,0.77,0.01,0.54,0,0.95,0.04,0.06,0.9,5.09
2016,2.29,0.61,0.92,0.11,0.05,0.01,0,0,0,0.41,1.2,3.59,9.19
2017,9.33,4.72,0.15,0.18,0.4,0,0,0,0.12,0,0.07,0,14.97
2018,1.48,0.29,1.64,0.04,0.01,0,0,0,0,0.55,1.31,1.75,7.07
2019,6.42,5.06,1.98,0.02,0.5,0.03,0.01,0,0,0,2.86,4.63,21.51
2020,0.31,0.33,3.01,3.03,0.04,0,0,0,0,0.03,0.04,1.49,8.28
2021,1.37,0.07,1.47,0.02,0,0,0.03,0.04,0,0.39,0,5.74,9.13
