"ENROLLMENT","SUBJECT_AREA","CATLG_NBR","SECT_NBR","GRADE","GRD_COUNT","ENRL_TOT","INSTR_NAME","INSTR_CD","TITLE","ENROL_TERM","LG_numeric"
"19F","POL SCI","118","1","B",6,56,"PAGDEN, A.R.","1","Laws of War and Peace from Conquest of America to Declaratio","255",3
"19F","POL SCI","118","1","B-",6,56,"PAGDEN, A.R.","1","Laws of War and Peace from Conquest of America to Declaratio","255",2.7
"19F","POL SCI","118","1","P",1,56,"PAGDEN, A.R.","1","Laws of War and Peace from Conquest of America to Declaratio","255",-1
"19F","POL SCI","119","1","A+",35,144,"BRANSTETTER, J.G.","1","Special Studies in Political Theory","255",4
"19F","POL SCI","119","1","A-",109,144,"BRANSTETTER, J.G.","1","Special Studies in Political Theory","255",3.7
"19F","POL SCI","120B","1","A+",2,16,"DESVEAUX, J.A.","1","World Politics and U.S. Foreign Policy after September 11","255",4
"19F","POL SCI","120B","1","A",7,16,"DESVEAUX, J.A.","1","World Politics and U.S. Foreign Policy after September 11","255",4
"19F","POL SCI","120B","1","A-",4,16,"DESVEAUX, J.A.","1","World Politics and U.S. Foreign Policy after September 11","255",3.7
"19F","POL SCI","120B","1","B+",2,16,"DESVEAUX, J.A.","1","World Politics and U.S. Foreign Policy after September 11","255",3.3
"19F","POL SCI","120B","1","B",1,16,"DESVEAUX, J.A.","1","World Politics and U.S. Foreign Policy after September 11","255",3
"19F","POL SCI","120B","2","A",21,109,"CHATTERJEE, S.","1","World Politics and U.S. Foreign Policy after September 11","255",4
"19F","POL SCI","120B","2","A-",19,109,"CHATTERJEE, S.","1","World Politics and U.S. Foreign Policy after September 11","255",3.7
"19F","POL SCI","120B","2","B+",9,109,"CHATTERJEE, S.","1","World Politics and U.S. Foreign Policy after September 11","255",3.3
"19F","POL SCI","120B","2","B",32,109,"CHATTERJEE, S.","1","World Politics and U.S. Foreign Policy after September 11","255",3
"19F","POL SCI","120B","2","B-",10,109,"CHATTERJEE, S.","1","World Politics and U.S. Foreign Policy after September 11","255",2.7
"19F","POL SCI","120B","2","C+",6,109,"CHATTERJEE, S.","1","World Politics and U.S. Foreign Policy after September 11","255",2.3
"19F","POL SCI","120B","2","C",3,109,"CHATTERJEE, S.","1","World Politics and U.S. Foreign Policy after September 11","255",2
"19F","POL SCI","120B","2","C-",2,109,"CHATTERJEE, S.","1","World Politics and U.S. Foreign Policy after September 11","255",1.7
"19F","POL SCI","120B","2","D+",1,109,"CHATTERJEE, S.","1","World Politics and U.S. Foreign Policy after September 11","255",1.3
