"ENROLLMENT","SUBJECT_AREA","CATLG_NBR","SECT_NBR","GRADE","GRD_COUNT","ENRL_TOT","INSTR_NAME","INSTR_CD","TITLE","ENROL_TERM","LG_numeric"
"19F","PSYCH","15","1","P",13,268,"WONG, J.","1","Introductory Psychobiology","255",-1
"19F","PSYCH","19","1","I",2,18,"CASTEL, A.D.","1","Fiat Lux Freshman Seminars","255",0
"19F","PSYCH","19","1","P",16,18,"CASTEL, A.D.","1","Fiat Lux Freshman Seminars","255",-1
"19F","PSYCH","19","2","P",19,19,"PAQUETTE-SMITH, M.","1","Fiat Lux Freshman Seminars","255",-1
"19F","PSYCH","20A","1","A+",13,31,"MANSOLF, M.A.","1","MATLAB Programming for Behavioral Sciences","255",4
"19F","PSYCH","20A","1","A",14,31,"MANSOLF, M.A.","1","MATLAB Programming for Behavioral Sciences","255",4
"19F","PSYCH","20A","1","A-",1,31,"MANSOLF, M.A.","1","MATLAB Programming for Behavioral Sciences","255",3.7
"19F","PSYCH","20A","1","B+",1,31,"MANSOLF, M.A.","1","MATLAB Programming for Behavioral Sciences","255",3.3
"19F","PSYCH","20A","1","I",2,31,"MANSOLF, M.A.","1","MATLAB Programming for Behavioral Sciences","255",0
"19F","PSYCH","85","1","A",14,48,"KELLMAN, P.","1","Introduction to Cognitive Science","255",4
"19F","PSYCH","85","1","A-",3,48,"KELLMAN, P.","1","Introduction to Cognitive Science","255",3.7
"19F","PSYCH","85","1","B+",8,48,"KELLMAN, P.","1","Introduction to Cognitive Science","255",3.3
"19F","PSYCH","85","1","B",7,48,"KELLMAN, P.","1","Introduction to Cognitive Science","255",3
"19F","PSYCH","85","1","B-",2,48,"KELLMAN, P.","1","Introduction to Cognitive Science","255",2.7
"19F","PSYCH","85","1","C+",6,48,"KELLMAN, P.","1","Introduction to Cognitive Science","255",2.3
"19F","PSYCH","85","1","C",7,48,"KELLMAN, P.","1","Introduction to Cognitive Science","255",2
"19F","PSYCH","85","1","C-",1,48,"KELLMAN, P.","1","Introduction to Cognitive Science","255",1.7
"19F","PSYCH","100A","1","A+",47,273,"DU, H.","1","Psychological Statistics","255",4
"19F","PSYCH","100A","1","A",158,273,"DU, H.","1","Psychological Statistics","255",4
"19F","PSYCH","100A","1","B+",19,273,"DU, H.","1","Psychological Statistics","255",3.3
"19F","PSYCH","100A","1","B",32,273,"DU, H.","1","Psychological Statistics","255",3
"19F","PSYCH","100A","1","C+",5,273,"DU, H.","1","Psychological Statistics","255",2.3
"19F","PSYCH","100A","1","C",6,273,"DU, H.","1","Psychological Statistics","255",2
"19F","PSYCH","100A","1","D",4,273,"DU, H.","1","Psychological Statistics","255",1
"19F","PSYCH","100A","1","F",2,273,"DU, H.","1","Psychological Statistics","255",0
