deducted
22
20
30
20
20
25
25
15
20
10
22
13
21
25
40
12
17
20
20
30
20
12
0
31
15
39
40
72
26
19
20
20
9
29
0
6
35
17
21
19
23
20
20
28
20
10
22
20
10
29
27
15
13
27
23
20
0
30
13
19
47
37
9
26
31
24
23
20
23
19
14
20
14
30
36
30
24
20
8
23
0
22
21
23
20
20
21
20
20
20
30
18
23
31
25
26
18
19
30
20
22
22
16
28
32
19
11
20
19
20
24
11
23
24
25
21
18
18
30
19
15
26
20
22
60
28
19
27
19
21
20
7
30
32
20
23
15
22
33
30
22
28
27
21
25
34
18
20
25
21
17
22
22
43
19
30
39
100
24
25
21
20
22
21
20
17
22
25
19
24
20
15
25
18
29
9
20
30
28
21
26
25
21
20
25
26
22
27
20
22
19
23
24
20
39
33
10
22
21
21
28
17
32
0
20
21
17
17
17
24
22
24
30
30
27
20
31
17
20
70
4
20
30
22
13
16
10
31
29
30
17
16
25
19
30
111
25
20
28
12
25
26
23
10
21
38
26
29
27
19
13
22
30
28
22
27
20
27
21
30
28
17
20
30
25
21
18
18
8
27
24
18
40
40
21
20
10
15
14
13
42
23
17
15
25
21
5
20
20
31
18
25
28
0
24
29
21
22
1
22
27
35
20
30
15
20
22
15
19
10
24
34
22
