,year,entire_apt,shared,single
0,2014,2700.0,623.258064516129,1162.5
1,2015,3050.846153846154,667.5395537525355,1383.5697674418604
2,2016,3064.7169811320755,684.7545098039216,1341.852028639618
3,2017,2828.809523809524,705.7959839357429,1344.0152173913043
4,2018,3127.3207547169814,733.0134228187919,1345.1747572815534
5,2019,3680.1428571428573,727.9855072463768,1339.1315789473683
