month,2014,2015,2016,2017,2018,2019
1,0.0,12.0,32.0,88.0,67.0,48.0
2,4.0,23.0,71.0,104.0,90.0,59.0
3,0.0,30.0,114.0,148.0,130.0,14.0
4,5.0,81.0,248.0,257.0,238.0,0.0
5,17.0,120.0,490.0,361.0,296.0,0.0
6,40.0,224.0,361.0,364.0,273.0,0.0
7,23.0,109.0,254.0,181.0,144.0,0.0
8,7.0,75.0,186.0,147.0,69.0,0.0
9,9.0,43.0,132.0,98.0,39.0,0.0
10,4.0,19.0,40.0,38.0,38.0,0.0
11,6.0,23.0,98.0,57.0,38.0,0.0
12,11.0,32.0,77.0,52.0,40.0,0.0
