"unitid","institution name","year","EFFY2023.Level and degree/certificate-seeking status of student","EFFY2023.Undergraduate or graduate level of student","EFFY2023.Grand total","EFFY2023.Grand total men","EFFY2023.Grand total women","EFFY2023.Hispanic or Latino total","EFFY2023.Hispanic or Latino men","EFFY2023.Hispanic or Latino women","IDX_E12"
"110547","California State University-Dominguez Hills","2023","All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","2585","953","1632","1683","575","1108","-2"
"110547","California State University-Dominguez Hills","2023","All students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","10617","4009","6608","7474","2730","4744","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students total","Not applicable, undergraduate detail","12487","4703","7784","8753","3179","5574","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Undergraduate total","Not applicable, undergraduate detail","10930","4249","6681","8030","3014","5016","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","10911","4242","6669","8030","3014","5016","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","1911","841","1070","1537","679","858","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","9000","3401","5599","6493","2335","4158","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","19","7","12","0","0","0","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Graduate","Not applicable, undergraduate detail","1557","454","1103","723","165","558","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","1801","709","1092","1190","436","754","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","7199","2692","4507","5303","1899","3404","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students total","Not applicable, undergraduate detail","5766","2089","3677","3431","1217","2214","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Undergraduate total","Not applicable, undergraduate detail","4482","1687","2795","2844","1053","1791","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","4356","1640","2716","2783","1032","1751","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","154","79","75","119","62","57","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","4202","1561","2641","2664","970","1694","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","126","47","79","61","21","40","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Graduate","Not applicable, undergraduate detail","1284","402","882","587","164","423","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","784","244","540","493","139","354","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","3418","1317","2101","2171","831","1340","-2"
"110583","California State University-Long Beach","2023","All students total","All students total","43106","17863","25243","20850","7973","12877","-2"
"110583","California State University-Long Beach","2023","All students, Undergraduate total","Undergraduate","36021","15088","20933","17913","6988","10925","-2"
"110583","California State University-Long Beach","2023","All students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","35738","14983","20755","17865","6973","10892","-2"
"110583","California State University-Long Beach","2023","All students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","5386","2104","3282","2870","1059","1811","-2"
"110583","California State University-Long Beach","2023","All students, Undergraduate, Other degree/certificate-seeking","Not applicable, undergraduate detail","30352","12879","17473","14995","5914","9081","-2"
"110583","California State University-Long Beach","2023","All students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","283","105","178","48","15","33","-2"
"110583","California State University-Long Beach","2023","All students, Graduate","Graduate","7085","2775","4310","2937","985","1952","-2"
"110583","California State University-Long Beach","2023","All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","5521","2384","3137","2845","1127","1718","-2"
"110583","California State University-Long Beach","2023","All students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","24831","10495","14336","12150","4787","7363","-2"
"110583","California State University-Long Beach","2023","Full-time students total","Not applicable, undergraduate detail","33532","13678","19854","16207","6107","10100","-2"
"110583","California State University-Long Beach","2023","Full-time students, Undergraduate total","Not applicable, undergraduate detail","29381","12050","17331","14619","5595","9024","-2"
"110583","California State University-Long Beach","2023","Full-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","29236","12001","17235","14619","5595","9024","-2"
"110583","California State University-Long Beach","2023","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","5281","2053","3228","2809","1036","1773","-2"
"110583","California State University-Long Beach","2023","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","23955","9948","14007","11810","4559","7251","-2"
"110583","California State University-Long Beach","2023","Full-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","145","49","96","0","0","0","-2"
"110583","California State University-Long Beach","2023","Full-time students, Graduate","Not applicable, undergraduate detail","4151","1628","2523","1588","512","1076","-2"
"110583","California State University-Long Beach","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","4524","1933","2591","2296","896","1400","-2"
"110583","California State University-Long Beach","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","19431","8015","11416","9514","3663","5851","-2"
"110583","California State University-Long Beach","2023","Part-time students total","Not applicable, undergraduate detail","9574","4185","5389","4643","1866","2777","-2"
"110583","California State University-Long Beach","2023","Part-time students, Undergraduate total","Not applicable, undergraduate detail","6640","3038","3602","3294","1393","1901","-2"
"110583","California State University-Long Beach","2023","Part-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","6502","2982","3520","3246","1378","1868","-2"
"110583","California State University-Long Beach","2023","Part-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","105","51","54","61","23","38","-2"
"110583","California State University-Long Beach","2023","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","6397","2931","3466","3185","1355","1830","-2"
"110583","California State University-Long Beach","2023","Part-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","138","56","82","48","15","33","-2"
"110583","California State University-Long Beach","2023","Part-time students, Graduate","Not applicable, undergraduate detail","2934","1147","1787","1349","473","876","-2"
"110583","California State University-Long Beach","2023","Part-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","997","451","546","549","231","318","-2"
"110583","California State University-Long Beach","2023","Part-time students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","5400","2480","2920","2636","1124","1512","-2"
"110592","California State University-Los Angeles","2023","All students total","All students total","28820","11860","16960","20941","8208","12733","-2"
"110592","California State University-Los Angeles","2023","All students, Undergraduate total","Undergraduate","24651","10307","14344","18611","7419","11192","-2"
"110592","California State University-Los Angeles","2023","All students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","24486","10237","14249","18521","7380","11141","-2"
"110592","California State University-Los Angeles","2023","All students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","3897","1769","2128","3151","1425","1726","-2"
"110592","California State University-Los Angeles","2023","All students, Undergraduate, Other degree/certificate-seeking","Not applicable, undergraduate detail","20589","8468","12121","15370","5955","9415","-2"
"110592","California State University-Los Angeles","2023","All students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","165","70","95","90","39","51","-2"
