quarter,week,swipes
F,-1,7956
F,0,36450
F,1,38604
F,2,39127
F,3,35328
F,4,30812
F,5,32278
F,6,23348
F,7,33252
F,8,11542
F,9,32061
F,10,36552
F,11,15572
S,0,2677
S,1,22064
S,2,22215
S,3,21819
S,4,22666
S,5,24841
S,6,21176
S,7,24926
S,8,20939
S,9,24498
S,10,27330
S,11,12254
W,0,1824
W,1,16905
W,2,26513
W,3,27710
W,4,27086
W,5,25089
W,6,18936
W,7,23605
W,8,22193
W,9,24316
W,10,28107
W,11,15238
