Location,Weekly Swipes
Epicuria at Covel,"8998"
De Neve,"22227"
Spice Kitchen at Feast,"7413"
Bruin Plate,"24999"
Bruin Café,"9983"
Café 1919,"4057"
Rendezvous,"21299"
The Study at Hedrick,"29589"
The Drey,"5023"
