,11P,11R,14P,14R,19P,19R
F22,"23,486","1,852","76,959","6,712","85,095","16,070"
W23,"19,256","1,870","49,481","6,351","57,916","15,111"
S23,"18,531","1,708","50,659","5,678","56,292","14,436"
