place_name,shared,single,post,lat,lon
1637 Veteran Avenue,0.0,0.0,1,34.050219,-118.44145400000001
1661 Selby Avenue,925.0,1025.0,3,34.05307,-118.43604999999998
1675 Colby Avenue,595.0,0.0,2,34.04318,-118.45153
1731 Barry Avenue,0.0,1500.0,1,34.040936,-118.452454
1785 Beloit Avenue,0.0,1113.0,1,34.044788,-118.445641
1800 Holmby Avenue,700.0,0.0,2,34.055974,-118.42586200000001
1835 Camden Avenue,0.0,1150.0,2,34.046091,-118.44055300000001
1841 Veteran Avenue,800.0,0.0,1,34.047619,-118.439453
1852 Kelton Avenue,0.0,1197.5,4,34.047889,-118.437752
2015 Midvale Drive,715.0,0.0,1,32.728472,-117.10941899999999
3165 Sawtelle Boulevard,0.0,1700.0,1,34.023821000000005,-118.429864
3221 Overland Avenue,750.0,1500.0,2,34.02895,-118.414978
3230 Overland Avenue,577.5,0.0,2,34.028923,-118.41460500000001
3501 Tilden Avenue,700.0,1400.0,4,34.020059,-118.419976
3665 Hughes Avenue,0.0,1000.0,1,34.026081,-118.401016
3701 Overland Avenue,0.0,1150.0,1,34.02081,-118.40891
3767 Mentone Avenue,625.0,0.0,2,34.020579999999995,-118.40567
3780 Keystone Ave,0.0,1470.0,1,34.027859,-118.402679
403 Landfair Avenue,652.6923076923077,1260.0,37,34.070112000000016,-118.45326100000005
406 Landfair Avenue,675.0,0.0,4,34.070159999999994,-118.4528
406 Veteran Avenue,750.0,0.0,3,34.07002,-118.45477999999999
411 Kelton Avenue,755.7142857142857,1100.0,15,34.06984,-118.45397000000001
414 Landfair Avenue,723.3333333333334,0.0,14,34.06996900000001,-118.452681
415 Gayley Avenue,768.7272727272727,0.0,22,34.070196,-118.45453899999998
423 Kelton Avenue,607.3529411764706,1400.0,20,34.069632999999996,-118.453953
424 Kelton Avenue,706.8571428571429,1140.0,48,34.06986499999999,-118.45369300000006
424 Landfair Avenue,616.8,1200.0,39,34.06982000000001,-118.45253999999993
424 Veteran Avenue,682.36,1500.0,31,34.06946900000002,-118.45485700000006
430 Kelton Avenue,747.875,2050.0,32,34.06937100000002,-118.4536280000001
433 Kelton Avenue,714.6666666666666,2200.0,32,34.069229999999976,-118.45391000000006
433 Midvale Avenue,900.0,1027.6666666666667,10,34.069430000000004,-118.45280199999999
437 Gayley Avenue,772.9285714285714,1300.0,26,34.07025999999999,-118.45347300000002
440 Veteran Avenue,718.3333333333334,0.0,4,34.068975,-118.45468899999999
442 Kelton Avenue,807.5,0.0,2,34.0691,-118.45358999999999
442 Landfair Avenue,667.0,0.0,1,34.06955,-118.4521
443 Midvale Avenue,883.0,0.0,7,34.06921,-118.45281999999999
445 Landfair Avenue,748.125,0.0,26,34.069181999999984,-118.45220100000004
447 Landfair Avenue,750.0,0.0,2,34.069137,-118.452132
448 Kelton Avenue,0.0,1650.0,2,34.068909999999995,-118.45355
450 Midvale Avenue,750.0,0.0,2,34.068940000000005,-118.4524
455 Kelton Avenue,640.0,0.0,3,34.06878,-118.45386
457 Kelton Avenue,0.0,1000.0,3,34.068706,-118.45392499999998
457 Midvale Avenue,730.0,0.0,1,34.068571999999996,-118.452529
461 Midvale Avenue,588.0,0.0,2,34.068759,-118.45280100000001
467 Landfair Avenue,575.0,0.0,3,34.068917,-118.45168400000001
471 Midvale Avenue,650.0,0.0,1,37.525079999999996,-122.299443
473 Midvale Avenue,620.0,0.0,3,37.525079999999996,-122.299443
476 Landfair Avenue,0.0,1550.0,1,34.068979999999996,-118.45136000000001
476 Midvale Avenue,900.0,0.0,2,34.068588,-118.45246100000001
478 Landfair Avenue,650.0,0.0,2,34.068863,-118.451222
483 Gayley Avenue,676.0769230769231,1600.0,15,34.070069999999994,-118.45192999999996
500 Landfair Avenue,517.0,0.0,1,34.06864,-118.45096000000001
501 Gayley Avenue,705.7692307692307,1825.0,20,34.06974000000001,-118.45137
505 Gayley Avenue,591.6,1284.2857142857142,18,34.069612,-118.451243
507 Glenrock Avenue,723.5,0.0,32,34.06779900000001,-118.45168300000009
509 Landfair Avenue,550.0,0.0,1,34.068552000000004,-118.45106499999999
510 Midvale Avenue,0.0,0.0,1,34.067959,-118.452454
511 Landfair Avenue,525.0,0.0,1,34.068525,-118.45103600000002
512 Veteran Avenue,633.0851063829788,1402.7777777777778,151,34.067955000000076,-118.454604
515 Gayley Avenue,800.0,0.0,1,34.06944,-118.450874
515 Kelton Avenue,720.6923076923077,1358.3333333333333,78,34.06775299999998,-118.45387200000002
515 Landfair Avenue,587.5,0.0,2,34.068019,-118.450694
515 Veteran Avenue,600.0,0.0,1,34.067496000000006,-118.454748
516 Glenrock Avenue,690.0,1400.0,29,34.067469999999986,-118.45112400000004
519 Glenrock Avenue,748.9333333333333,0.0,17,34.067632,-118.45151299999999
520 Kelton Avenue,620.0227272727273,1844.4444444444443,64,34.06778000000002,-118.45342999999981
527 Midvale Avenue,715.483870967742,1276.5714285714287,52,34.067452,-118.45272899999992
528 Midvale Avenue,572.0,0.0,1,34.067403999999996,-118.452265
529 Glenrock Avenue,750.0,0.0,1,34.06728,-118.45146000000001
530 Veteran Avenue,649.2222222222222,1531.25,14,34.06738000000001,-118.45454999999997
532 Midvale Way,665.0,1351.5,3,37.884871000000004,-122.543471
533 Glenrock Avenue,600.0,0.0,2,34.067188,-118.451241
540 Glenrock Avenue,711.0,0.0,3,34.067121,-118.45096000000001
540 Kelton Avenue,550.0,0.0,25,34.067166000000014,-118.45332300000004
540 Landfair Avenue,725.0,0.0,5,34.067782,-118.450061
540 Midvale Avenue,697.5,1955.0,46,34.06724000000003,-118.45222000000004
542 Glenrock Avenue,600.0,1612.5,3,34.06697,-118.45088400000002
543 Landfair Avenue,750.0,0.0,1,34.06743,-118.45025
545 Glenrock Avenue,790.0,0.0,13,34.067365,-118.45122199999999
547 Landfair Avenue,695.0,0.0,1,34.06739,-118.45022
549 Kelton Avenue,680.0,0.0,8,34.066841000000004,-118.453537
550 Veteran Avenue,643.0,1549.8333333333333,71,34.06697600000003,-118.45451200000007
555 Gayley Avenue,0.0,1433.3333333333333,4,34.068855,-118.44989
555 Kelton Avenue,750.0,1700.0,2,34.066829999999996,-118.453721
555 Levering Avenue,831.0,2100.0,6,34.066489999999995,-118.45438999999999
556 Midvale Avenue,837.5,0.0,4,34.066790000000005,-118.45194
600 Kelton Avenue,780.0,0.0,2,34.066144,-118.453194
601 Midvale Avenue,742.5,0.0,4,34.066089,-118.451973
601 Westholme Avenue,756.4285714285714,0.0,15,34.06934999999999,-118.43846000000003
605 Kelton Avenue,708.3333333333334,1425.0,19,34.06626000000001,-118.45369000000001
606 Levering Avenue,601.3888888888889,0.0,21,34.06676900000001,-118.45308700000002
610 Levering Avenue,737.5,0.0,7,34.06654,-118.45286
611 Levering Avenue,618.0,0.0,2,34.066187,-118.452744
612 Midvale Avenue,533.0,0.0,1,34.065907,-118.45161100000001
616 Kelton Avenue,780.0,0.0,2,34.065940000000005,-118.4531
626 Midvale Avenue,900.0,0.0,1,34.06557,-118.45156999999999
627 Kelton Avenue,747.5,0.0,2,34.065969,-118.453254
