year,month,retweets,favorites
2020,1,23164.160949868074,109287.81530343008
2020,2,20337.63129973475,91114.58090185677
2020,3,22172.281690140844,102553.91079812206
2020,4,25917.225895316806,122215.95592286502
2020,5,25813.32058287796,109268.4918032787
2020,6,27693.724137931036,127228.91222570532
