place,Landfill,Construction,Cardboard
Hedrick Rooms,100,0,0
Hedrick Bathrooms,36,0,0
Hedrick Lounges,22,0,0
Facilities Management Building,30,0,0
Campus Services Building 1,27,18,0
Feast Dining Hall,0,0,0
DeNeve Dining Hall,0,0,0
Covel Dining Hall,0,0,0
Powell Library,14,0,0
Pauley Pavilion,30,0,20
