place,Recycling,Paper,Plastic,Metal,Glass,Utensils
Hedrick Lounges,31.2,0,0,0,0,0
Hedrick Bathrooms,0,0,0,0,0,0
Hedrick Rooms,0,0,0,0,0,0
Feast Dining Hall,0,0,0,0,0,0
De Neve Dining Hall,0,0,0,0,0,0
Covel Dining Hall,0,0,0,0,0,0
Powell Library,0,5.6,13.8,1.2,5.6,0.6
Pauley Pavilion,0,0,40,10,0,0
Facilities Management Building,0,18.7,5.6,1.5,1.5,0
Campus Services Building 1,0,13.4,5.5,8.4,1,0
