place,Compost,Liquid,Edible,Inedible,Napkins
Hedrick Lounges,46.9,0,0,0,0
Hedrick Bathrooms,64.4,0,0,0,0
Hedrick Rooms,0,0,0,0,0
Feast Dining Hall,0,24,66,2,8
De Neve Dining Hall,0,17,52,24,7
Covel Dining Hall,0,14.9,56.4,21.8,6.9
Powell Library,59.6,0,0,,0
Pauley Pavilion,0,0,0,0,0
Facilities Management Building,42.8,0,0,0,0
Campus Services Building 1,27.1,0,0,0,0
