Gender,UCB,UCD,UCI,UCLA,UCM,UCR,UCSB,UCSC,UCSD,UCSF,UC Total,,Total employees
F/M,13,10,2,20,3,6,6,4,6,21,91,,
M/M,3,2,0,2,0,0,0,2,0,1,10,,
U/M,2,1,3,0,2,1,0,0,2,3,14,,
M/F,0,0,0,2,1,0,0,0,0,0,3,,
F/F,0,1,0,1,0,1,0,0,0,1,4,,
U/F,1,1,0,0,1,0,0,0,2,0,5,,
U/U,0,0,3,0,0,0,0,0,0,0,3,,
M/U,0,0,1,0,0,0,0,0,0,0,1,,
F/U,0,0,0,0,0,0,0,0,0,0,0,,
