year,ucla,uci,ucsb,uc_merced,uc_davis,ucr,ucsd,ucsc,uc_berkeley
2011,5.10,2.50,9.50,0.70,13.10,-3.90,10.20,3.60,10.80
2012,3.40,5.10,10.40,-8.00,11.80,9.50,5.30,4.90,11.30
2013,7.10,4.20,6.80,-7.60,13.10,5.00,11.00,5.60,5.70
2014,6.40,3.50,5.20,-1.80,7.90,2.30,8.50,7.20,6.60
2015,3.80,0.90,5.40,-2.70,9.90,1.70,10.50,2.90,6.60
2016,4.60,5.70,5.20,0.30,10.70,3.20,5.70,6.00,2.50
2017,6.50,8.30,7.40,14.70,9.50,-0.50,8.90,5.70,3.00
2018,4.90,4.70,5.90,7.40,6.70,-5.40,8.50,6.70,5.90
2019,6.80,7.60,4.00,2.70,8.50,-0.50,3.60,4.30,8.10
