IntervalCategory,count
14,448
15,367
16,761
17,719
18,1090
19,845
20,23
22,1134
23,732
24,1233
25,914
26,917
27,675
28,720
29,276
30,8
34,967
35,830
36,1424
37,1197
38,1298
39,1106
40,1027
41,550
42,8
