IntervalCategory,count
0,83
14,1676
15,1573
16,2449
17,2450
18,3019
19,2632
20,194
21,1
22,5348
23,4337
24,5790
25,5201
26,4735
27,3334
28,4306
29,2236
30,138
34,5491
35,4483
36,5937
37,5721
38,5737
39,4966
40,4290
41,2370
42,498
43,480
44,518
45,556
46,552
47,513
