IntervalCategory,count
0,71
14,423
15,523
16,643
17,559
18,726
19,692
20,47
22,696
23,596
24,634
25,625
26,582
27,558
28,599
29,556
30,27
34,685
35,602
36,602
37,580
38,643
39,580
40,661
41,566
42,677
43,563
44,657
45,598
46,630
47,574
