IntervalCategory,count
14,596
15,536
16,839
17,1060
18,986
19,895
20,25
22,658
23,606
24,788
25,1063
26,650
27,368
28,646
29,145
30,8
34,662
35,623
36,1212
37,1076
38,1053
39,937
40,690
41,352
42,2
