IntervalCategory,count
14,558
15,505
16,887
17,897
18,948
19,926
20,42
22,855
23,547
24,802
25,994
26,698
27,511
28,554
29,206
30,5
34,882
35,628
36,1051
37,1036
38,1150
39,1064
40,832
41,335
42,4
