IntervalCategory,count
14,546
15,537
16,924
17,806
18,1111
19,820
20,21
22,742
23,748
24,1001
25,719
26,705
27,448
28,551
29,152
30,6
34,782
35,632
36,1132
37,954
38,1229
39,939
40,753
41,322
42,4
