IntervalCategory,count
14,504
15,373
16,807
17,957
18,978
19,859
20,26
22,1040
23,601
24,970
25,1066
26,710
27,476
28,754
29,285
30,7
34,801
35,620
36,1150
37,1064
38,1175
39,943
40,861
41,432
42,3
