IntervalCategory,count
0,146
12,2
14,1698
15,1466
16,2601
17,2902
18,3171
19,3068
20,185
22,5245
23,4188
24,5313
25,5955
26,4632
27,3317
28,4546
29,2209
30,143
34,5303
35,4296
36,5772
37,5483
38,6027
39,5339
40,4891
41,2829
42,679
43,466
44,469
45,462
46,484
47,454
