IntervalCategory,count
0,146
14,487
15,460
16,727
17,757
18,739
19,737
20,109
22,747
23,635
24,621
25,664
26,600
27,464
28,643
29,466
30,20
34,689
35,652
36,593
37,561
38,631
39,616
40,523
41,589
42,613
43,466
44,469
45,462
46,484
47,454
