IntervalCategory,count
14,269
15,315
16,428
17,556
18,785
19,997
20,41
22,777
23,736
24,897
25,859
26,712
27,557
28,418
29,227
30,4
31,1
34,413
35,392
36,695
37,782
38,848
39,761
40,536
41,255
42,5
